Play,Type,Bnt,Fl,Loc,B,R1,R2,R3,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,1st,2nd,3rd,348, 22.04%,2,0
Walk,-,-,-,-,1st,2nd,3rd,Score,81,  5.13%,1,1
Generic out,Grounder,-,-,6,Out,Out,2nd,3rd,24,  1.52%,3,0
Hit by pitch,-,-,-,-,1st,2nd,3rd,Score,21,  1.33%,1,1
Generic out,Fly,-,-,8D,Out,1st,2nd,Score,18,  1.14%,2,1
Wild pitch,-,-,-,-,Stays,2nd,3rd,Score,18,  1.14%,1,1
Generic out,Grounder,-,-,4,Out,Out,2nd,3rd,16,  1.01%,3,0
Generic out,Grounder,-,-,34,Out,Out,2nd,3rd,14,  0.89%,3,0
Generic out,Grounder,-,-,56,Out,Out,2nd,3rd,14,  0.89%,3,0
Generic out,Fly,-,-,8XD,Out,1st,3rd,Score,13,  0.82%,2,1
Generic out,Fly,-,-,9D,Out,1st,3rd,Score,13,  0.82%,2,1
Generic out,Grounder,-,-,4,1st,Out,3rd,Score,13,  0.82%,2,1
Generic out,Grounder,-,-,34,Out,2nd,3rd,Score,12,  0.76%,2,1
Single,Liner,-,-,9S,1st,2nd,3rd,Score,12,  0.76%,1,1
Generic out,Fly,-,-,89XD,Out,1st,3rd,Score,12,  0.76%,2,1
Generic out,Grounder,-,-,6,1st,Out,3rd,Score,12,  0.76%,2,1
Generic out,Grounder,-,-,6M,Out,Out,2nd,3rd,11,  0.70%,3,0
Single,Grounder,-,-,34,1st,2nd,3rd,Score,11,  0.70%,1,1
Generic out,Fly,-,-,78D,Out,1st,2nd,Score,11,  0.70%,2,1
Home run,Fly,-,-,78XD,Score,Score,Score,Score,10,  0.63%,1,4
Generic out,Fly,-,-,7,Out,1st,2nd,Score,10,  0.63%,2,1
Single,Grounder,-,-,56,1st,2nd,3rd,Score,10,  0.63%,1,1
Generic out,Grounder,-,-,34,1st,Out,3rd,Score,10,  0.63%,2,1
Generic out,Grounder,-,-,56,1st,Out,3rd,Score,10,  0.63%,2,1
Generic out,Fly,-,-,9S,Out,1st,2nd,3rd,9,  0.57%,2,0
Single,Grounder,-,-,56,1st,2nd,Score,Score,9,  0.57%,1,2
Generic out,Fly,-,-,7D,Out,1st,2nd,Score,8,  0.51%,2,1
Single,Liner,-,-,7,1st,2nd,3rd,Score,8,  0.51%,1,1
Generic out,Pop-up,-,Y,5F,Out,1st,2nd,3rd,8,  0.51%,2,0
Double,Grounder,-,-,5,2nd,Score,Score,Score,7,  0.44%,1,3
Generic out,Fly,-,-,9,Out,1st,3rd,Score,7,  0.44%,2,1
Generic out,Fly,-,-,78,Out,1st,2nd,Score,7,  0.44%,2,1
Generic out,Grounder,-,-,4,Out,2nd,3rd,Score,7,  0.44%,2,1
Generic out,Fly,-,-,9L,Out,1st,3rd,Score,7,  0.44%,2,1
Home run,Fly,-,-,7D,Score,Score,Score,Score,7,  0.44%,1,4
Generic out,Pop-up,-,-,34D,Out,1st,2nd,3rd,7,  0.44%,2,0
Home run,Fly,-,-,9LD,Score,Score,Score,Score,7,  0.44%,1,4
Generic out,Fly,-,-,8,Out,1st,2nd,Score,7,  0.44%,2,1
Single,Grounder,-,-,6M,1st,3rd,Score,Score,6,  0.38%,1,2
Generic out,Liner,-,-,7D,Out,1st,2nd,Score,6,  0.38%,2,1
Generic out,Grounder,-,-,1,Out,1st,2nd,Out,6,  0.38%,3,0
Generic out,Grounder,-,-,3,Out,2nd,3rd,Score,6,  0.38%,2,1
Single,Grounder,-,-,34,1st,3rd,Score,Score,6,  0.38%,1,2
Home run,Fly,-,-,89XD,Score,Score,Score,Score,6,  0.38%,1,4
Single,Grounder,-,-,6,1st,2nd,3rd,Score,6,  0.38%,1,1
Generic out,Fly,-,-,7S,Out,1st,2nd,3rd,6,  0.38%,2,0
Generic out,Liner,-,-,9,Out,1st,3rd,Score,6,  0.38%,2,1
Single,Grounder,-,-,6,1st,2nd,Score,Score,6,  0.38%,1,2
Generic out,Grounder,-,-,56S,1st,2nd,3rd,Out,6,  0.38%,2,0
Generic out,Grounder,-,-,6,Out,2nd,3rd,Score,6,  0.38%,2,1
