Play,Type,Bnt,Fl,Loc,B,R2,R3,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,2nd,3rd,460, 23.71%,3,0
Walk,-,-,-,-,1st,2nd,3rd,213, 10.98%,2,0
Intentional walk,-,-,-,-,1st,2nd,3rd,72,  3.71%,2,0
Generic out,Grounder,-,-,6,Out,2nd,3rd,61,  3.14%,3,0
Generic out,Grounder,-,-,34,Out,2nd,3rd,58,  2.99%,3,0
Generic out,Grounder,-,-,56,Out,2nd,3rd,46,  2.37%,3,0
Generic out,Grounder,-,-,4,Out,2nd,3rd,43,  2.22%,3,0
Generic out,Grounder,-,-,3,Out,2nd,3rd,38,  1.96%,3,0
Wild pitch,-,-,-,-,Stays,3rd,Score,25,  1.29%,2,1
Generic out,Fly,-,-,8D,Out,2nd,3rd,22,  1.13%,3,0
Generic out,Fly,-,-,9D,Out,2nd,3rd,20,  1.03%,3,0
Hit by pitch,-,-,-,-,1st,2nd,3rd,20,  1.03%,2,0
Single,Liner,-,-,8,1st,Score,Score,19,  0.98%,2,2
Generic out,Fly,-,-,8XD,Out,2nd,3rd,18,  0.93%,3,0
Home run,Fly,-,-,78XD,Score,Score,Score,15,  0.77%,2,3
Generic out,Grounder,-,-,5,Out,2nd,3rd,14,  0.72%,3,0
Generic out,Grounder,-,-,1S,Out,2nd,3rd,13,  0.67%,3,0
Generic out,Fly,-,-,89XD,Out,2nd,3rd,13,  0.67%,3,0
Single,Grounder,-,-,6,1st,Score,Score,12,  0.62%,2,2
Generic out,Grounder,-,-,6S,Out,2nd,3rd,12,  0.62%,3,0
Generic out,Fly,-,-,89D,Out,2nd,3rd,11,  0.57%,3,0
Generic out,Fly,-,-,8,Out,2nd,3rd,11,  0.57%,3,0
Generic out,Fly,-,-,78XD,Out,2nd,3rd,11,  0.57%,3,0
Generic out,Grounder,-,-,1,Out,2nd,3rd,10,  0.52%,3,0
Home run,Fly,-,-,9LD,Score,Score,Score,10,  0.52%,2,3
Generic out,Grounder,-,-,6M,Out,2nd,3rd,10,  0.52%,3,0
Generic out,Fly,-,-,7D,Out,2nd,3rd,10,  0.52%,3,0
Generic out,Fly,-,-,8S,Out,2nd,3rd,9,  0.46%,3,0
Generic out,Grounder,-,-,56S,Out,2nd,3rd,9,  0.46%,3,0
Generic out,Pop-up,-,-,6,Out,2nd,3rd,9,  0.46%,3,0
Generic out,Fly,-,-,89,Out,2nd,3rd,9,  0.46%,3,0
Generic out,Fly,-,-,9S,Out,2nd,3rd,8,  0.41%,3,0
Generic out,Liner,-,-,8D,Out,2nd,3rd,8,  0.41%,3,0
Double,Liner,-,-,9LD,2nd,Score,Score,8,  0.41%,2,2
Single,Grounder,-,-,56,1st,Score,Score,8,  0.41%,2,2
Single,Liner,-,-,7,1st,Score,Score,8,  0.41%,2,2
Home run,Fly,-,-,7D,Score,Score,Score,8,  0.41%,2,3
Home run,Fly,-,-,9D,Score,Score,Score,8,  0.41%,2,3
Home run,Fly,-,-,89XD,Score,Score,Score,8,  0.41%,2,3
Generic out,Liner,-,-,89D,Out,2nd,3rd,8,  0.41%,3,0
Generic out,Fly,-,-,9,Out,2nd,3rd,7,  0.36%,3,0
Single,Grounder,-,-,6M,1st,Score,Score,7,  0.36%,2,2
Single,Grounder,-,-,4,1st,Score,Score,7,  0.36%,2,2
Double,Liner,-,-,7LD,2nd,Score,Score,7,  0.36%,2,2
Generic out,Grounder,-,-,2,Out,2nd,3rd,7,  0.36%,3,0
Generic out,Liner,-,-,7,Out,2nd,3rd,7,  0.36%,3,0
Single,Liner,-,-,8S,1st,Score,Score,7,  0.36%,2,2
Single,Liner,-,-,89D,1st,Score,Score,7,  0.36%,2,2
Generic out,Pop-up,-,Y,2F,Out,2nd,3rd,6,  0.31%,3,0
Double,Grounder,-,-,5,2nd,Score,Score,6,  0.31%,2,2
Generic out,Fly,-,-,9L,Out,2nd,3rd,6,  0.31%,3,0
Single,Grounder,-,-,34,1st,Score,Score,6,  0.31%,2,2
Generic out,Liner,-,-,8,Out,2nd,3rd,6,  0.31%,3,0
Generic out,Fly,-,-,78,Out,2nd,3rd,6,  0.31%,3,0
Generic out,Fly,-,-,89S,Out,2nd,3rd,6,  0.31%,3,0
