Play,Type,Bnt,Fl,Loc,B,R1,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,1st,2544, 18.76%,3,0
Walk,-,-,-,-,1st,2nd,884,  6.52%,2,0
Stolen base,-,-,-,-,Stays,2nd,884,  6.52%,2,0
Generic out,Grounder,-,-,34,Out,1st,412,  3.04%,3,0
Generic out,Grounder,-,-,6,1st,Out,281,  2.07%,3,0
Wild pitch,-,-,-,-,Stays,2nd,237,  1.75%,2,0
Caught stealing,-,-,-,-,Stays,Out,223,  1.64%,3,0
Generic out,Grounder,-,-,6,Out,1st,204,  1.50%,3,0
Generic out,Grounder,-,-,4,Out,1st,203,  1.50%,3,0
Defensive indifference,-,-,-,-,Stays,2nd,192,  1.42%,2,0
Generic out,Fly,-,-,8XD,Out,1st,166,  1.22%,3,0
Generic out,Grounder,-,-,56,Out,1st,159,  1.17%,3,0
Hit by pitch,-,-,-,-,1st,2nd,136,  1.00%,2,0
Generic out,Grounder,-,-,3,Out,1st,135,  1.00%,3,0
Generic out,Grounder,-,-,56,1st,Out,130,  0.96%,3,0
Generic out,Fly,-,-,8D,Out,1st,122,  0.90%,3,0
Pickoff,-,-,-,-,Stays,Out,104,  0.77%,3,0
Generic out,Fly,-,-,89D,Out,1st,104,  0.77%,3,0
Generic out,Fly,-,-,9D,Out,1st,98,  0.72%,3,0
Generic out,Fly,-,-,8,Out,1st,95,  0.70%,3,0
Generic out,Fly,-,-,9,Out,1st,94,  0.69%,3,0
Single,Grounder,-,-,34,1st,2nd,92,  0.68%,2,0
Single,Grounder,-,-,56,1st,2nd,92,  0.68%,2,0
Generic out,Fly,-,-,7D,Out,1st,85,  0.63%,3,0
Generic out,Liner,-,-,8D,Out,1st,80,  0.59%,3,0
Generic out,Grounder,-,-,3S,Out,1st,78,  0.58%,3,0
Generic out,Fly,-,-,78,Out,1st,73,  0.54%,3,0
Generic out,Fly,-,-,89,Out,1st,72,  0.53%,3,0
Generic out,Fly,-,-,78D,Out,1st,72,  0.53%,3,0
Single,Liner,-,-,8,1st,2nd,71,  0.52%,2,0
Generic out,Grounder,-,-,6M,1st,Out,70,  0.52%,3,0
Generic out,Grounder,-,-,4,1st,Out,69,  0.51%,3,0
Generic out,Fly,-,-,78XD,Out,1st,69,  0.51%,3,0
Generic out,Fly,-,-,89XD,Out,1st,68,  0.50%,3,0
Generic out,Grounder,-,-,5,Out,1st,67,  0.49%,3,0
Single,Grounder,-,-,6M,1st,2nd,67,  0.49%,2,0
Generic out,Grounder,-,-,1S,Out,1st,67,  0.49%,3,0
Single,Grounder,-,-,34,1st,3rd,65,  0.48%,2,0
Single,Grounder,-,-,6,1st,2nd,63,  0.46%,2,0
Home run,Fly,-,-,7D,Score,Score,62,  0.46%,2,2
Generic out,Fly,-,-,7,Out,1st,61,  0.45%,3,0
Single,Liner,-,-,7,1st,2nd,60,  0.44%,2,0
Generic out,Grounder,-,-,56S,Out,1st,60,  0.44%,3,0
Home run,Fly,-,-,9D,Score,Score,60,  0.44%,2,2
Generic out,Pop-up,-,Y,2F,Out,1st,59,  0.44%,3,0
Single,Grounder,-,-,4,1st,3rd,58,  0.43%,2,0
Generic out,Fly,-,-,7S,Out,1st,56,  0.41%,3,0
Generic out,Grounder,-,-,6S,Out,1st,56,  0.41%,3,0
Home run,Fly,-,-,9LD,Score,Score,55,  0.41%,2,2
Generic out,Fly,-,-,9S,Out,1st,50,  0.37%,3,0
Generic out,Liner,-,-,9D,Out,1st,50,  0.37%,3,0
Single,Liner,-,-,9,1st,2nd,50,  0.37%,2,0
Home run,Fly,-,-,89XD,Score,Score,49,  0.36%,2,2
Generic out,Liner,-,-,8XD,Out,1st,49,  0.36%,3,0
Generic out,Grounder,-,-,6M,Out,1st,49,  0.36%,3,0
Home run,Fly,-,-,78XD,Score,Score,46,  0.34%,2,2
