Play,Type,Bnt,Fl,Loc,B,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,7621, 23.31%,2,0
Walk,-,-,-,-,1st,2558,  7.82%,1,0
Generic out,Grounder,-,-,6,Out,1225,  3.75%,2,0
Generic out,Grounder,-,-,34,Out,965,  2.95%,2,0
Generic out,Grounder,-,-,56,Out,803,  2.46%,2,0
Generic out,Grounder,-,-,4,Out,717,  2.19%,2,0
Generic out,Grounder,-,-,3,Out,695,  2.13%,2,0
Generic out,Fly,-,-,8XD,Out,446,  1.36%,2,0
Generic out,Grounder,-,-,5,Out,378,  1.16%,2,0
Hit by pitch,-,-,-,-,1st,323,  0.99%,1,0
Single,Grounder,-,-,56,1st,311,  0.95%,1,0
Single,Grounder,-,-,34,1st,307,  0.94%,1,0
Generic out,Fly,-,-,8D,Out,293,  0.90%,2,0
Generic out,Fly,-,-,9D,Out,275,  0.84%,2,0
Generic out,Grounder,-,-,6M,Out,262,  0.80%,2,0
Single,Grounder,-,-,6M,1st,260,  0.80%,1,0
Single,Grounder,-,-,6,1st,252,  0.77%,1,0
Single,Liner,-,-,8,1st,252,  0.77%,1,0
Generic out,Fly,-,-,7D,Out,248,  0.76%,2,0
Single,Grounder,-,-,4,1st,246,  0.75%,1,0
Generic out,Fly,-,-,89D,Out,245,  0.75%,2,0
Generic out,Fly,-,-,89XD,Out,236,  0.72%,2,0
Generic out,Fly,-,-,78D,Out,234,  0.72%,2,0
Generic out,Liner,-,-,8D,Out,217,  0.66%,2,0
Generic out,Fly,-,-,8,Out,216,  0.66%,2,0
Single,Liner,-,-,7,1st,212,  0.65%,1,0
Generic out,Fly,-,-,78XD,Out,208,  0.64%,2,0
Single,Liner,-,-,78,1st,204,  0.62%,1,0
Generic out,Fly,-,-,9,Out,200,  0.61%,2,0
Generic out,Grounder,-,-,56S,Out,197,  0.60%,2,0
Single,Liner,-,-,89,1st,194,  0.59%,1,0
Single,Liner,-,-,9,1st,186,  0.57%,1,0
Generic out,Fly,-,-,89,Out,185,  0.57%,2,0
Generic out,Grounder,-,-,4M,Out,185,  0.57%,2,0
Single,Grounder,-,-,4M,1st,181,  0.55%,1,0
Home run,Fly,-,-,7D,Score,179,  0.55%,1,1
Generic out,Fly,-,-,78,Out,176,  0.54%,2,0
Generic out,Grounder,-,-,1S,Out,160,  0.49%,2,0
Home run,Fly,-,-,9D,Score,158,  0.48%,1,1
Single,Liner,-,-,8D,1st,153,  0.47%,1,0
Generic out,Grounder,-,-,6S,Out,152,  0.46%,2,0
Home run,Fly,-,-,78XD,Score,147,  0.45%,1,1
Generic out,Fly,-,-,7,Out,146,  0.45%,2,0
Generic out,Liner,-,-,8XD,Out,141,  0.43%,2,0
Generic out,Liner,-,-,9D,Out,140,  0.43%,2,0
Single,Liner,-,-,89D,1st,139,  0.43%,1,0
Home run,Fly,-,-,89XD,Score,134,  0.41%,1,1
Generic out,Grounder,-,-,4D,Out,130,  0.40%,2,0
Generic out,Fly,-,-,9S,Out,129,  0.39%,2,0
Generic out,Liner,-,-,7D,Out,127,  0.39%,2,0
Generic out,Pop-up,-,Y,3F,Out,127,  0.39%,2,0
Generic out,Liner,-,-,89D,Out,126,  0.39%,2,0
Generic out,Fly,-,-,9L,Out,122,  0.37%,2,0
Double,Liner,-,-,7LD,2nd,120,  0.37%,1,0
Generic out,Liner,-,-,7,Out,119,  0.36%,2,0
Generic out,Liner,-,-,78D,Out,118,  0.36%,2,0
Generic out,Pop-up,-,Y,2F,Out,116,  0.35%,2,0
Single,Liner,-,-,78D,1st,112,  0.34%,1,0
Double,Liner,-,-,78XD,2nd,112,  0.34%,1,0
Generic out,Liner,-,-,9,Out,109,  0.33%,2,0
Generic out,Fly,-,-,78S,Out,108,  0.33%,2,0
Generic out,Fly,-,-,9LD,Out,105,  0.32%,2,0
Generic out,Fly,-,-,7L,Out,105,  0.32%,2,0
Home run,Fly,-,-,8XD,Score,104,  0.32%,1,1
Double,Grounder,-,-,5,2nd,103,  0.32%,1,0
Generic out,Grounder,-,-,2,Out,103,  0.32%,2,0
Single,Liner,-,-,9S,1st,103,  0.32%,1,0
Home run,Fly,-,-,7LD,Score,100,  0.31%,1,1
Generic out,Grounder,-,-,1,Out,100,  0.31%,2,0
Generic out,Fly,-,-,89S,Out,100,  0.31%,2,0
Home run,Fly,-,-,9LD,Score,99,  0.30%,1,1
Generic out,Grounder,-,-,6D,Out,99,  0.30%,2,0
Generic out,Fly,-,-,8S,Out,98,  0.30%,2,0
Double,Liner,-,-,89XD,2nd,98,  0.30%,1,0
Single,Liner,-,-,7S,1st,97,  0.30%,1,0
Generic out,Fly,-,-,7LD,Out,96,  0.29%,2,0
Single,Grounder,-,-,5,1st,94,  0.29%,1,0
Generic out,Fly,-,-,7S,Out,93,  0.28%,2,0
Double,Liner,-,-,9LD,2nd,84,  0.26%,1,0
Generic out,Fly,-,-,9LS,Out,82,  0.25%,2,0
Generic out,Pop-up,-,-,34,Out,76,  0.23%,2,0
Generic out,Pop-up,-,-,4D,Out,75,  0.23%,2,0
Generic out,Liner,-,-,8,Out,74,  0.23%,2,0
Single,Grounder,-,-,3,1st,74,  0.23%,1,0
Single,Liner,-,-,7L,1st,73,  0.22%,1,0
Double,Liner,-,-,7L,2nd,72,  0.22%,1,0
Single,Liner,-,-,8S,1st,71,  0.22%,1,0
Single,Liner,-,-,78S,1st,71,  0.22%,1,0
Generic out,Grounder,-,-,34D,Out,70,  0.21%,2,0
Generic out,Liner,-,-,89,Out,69,  0.21%,2,0
Generic out,Grounder,-,-,6MS,Out,68,  0.21%,2,0
Generic out,Pop-up,-,-,6,Out,68,  0.21%,2,0
Single,Liner,-,-,89S,1st,68,  0.21%,1,0
Generic out,Grounder,-,-,6MD,Out,67,  0.20%,2,0
Single,Liner,-,-,7D,1st,65,  0.20%,1,0
Generic out,Liner,-,-,56,Out,64,  0.20%,2,0
Generic out,Liner,-,-,78,Out,63,  0.19%,2,0
Generic out,Pop-up,-,-,6D,Out,62,  0.19%,2,0
Double,Liner,-,-,9L,2nd,62,  0.19%,1,0
Generic out,Liner,-,-,4D,Out,61,  0.19%,2,0
Generic out,Grounder,-,-,13,Out,60,  0.18%,2,0
Generic out,Grounder,-,-,4MS,Out,60,  0.18%,2,0
Generic out,Grounder,-,-,4MD,Out,59,  0.18%,2,0
Generic out,Liner,-,-,6,Out,58,  0.18%,2,0
Generic out,Pop-up,-,Y,5F,Out,58,  0.18%,2,0
Generic out,Pop-up,-,Y,3SF,Out,57,  0.17%,2,0
Generic out,Pop-up,-,-,34D,Out,57,  0.17%,2,0
Single,Liner,-,-,9L,1st,56,  0.17%,1,0
Generic out,Liner,-,-,6D,Out,55,  0.17%,2,0
Generic out,Liner,-,-,3,Out,55,  0.17%,2,0
Generic out,Pop-up,-,-,56,Out,54,  0.17%,2,0
Double,Grounder,-,-,3,2nd,54,  0.17%,1,0
Generic out,Pop-up,-,-,56D,Out,53,  0.16%,2,0
Generic out,Fly,-,-,7LS,Out,52,  0.16%,2,0
Double,Liner,-,-,78D,2nd,51,  0.16%,1,0
Generic out,Liner,-,-,34,Out,51,  0.16%,2,0
Generic out,Grounder,-,-,3S,Out,50,  0.15%,2,0
Single,Grounder,-,-,56S,1st,50,  0.15%,1,0
Generic out,Pop-up,-,-,4,Out,48,  0.15%,2,0
Double,Fly,-,-,89XD,2nd,45,  0.14%,1,0
Generic out,Grounder,-,-,56D,Out,44,  0.13%,2,0
Generic out,Grounder,-,-,34S,Out,43,  0.13%,2,0
Double,Liner,-,-,89D,2nd,43,  0.13%,1,0
Generic out,Pop-up,-,Y,5SF,Out,43,  0.13%,2,0
Generic out,Grounder,-,-,4S,Out,42,  0.13%,2,0
Generic out,Liner,-,-,78XD,Out,41,  0.13%,2,0
Generic out,Pop-up,-,-,3D,Out,40,  0.12%,2,0
Double,Fly,-,-,78XD,2nd,40,  0.12%,1,0
Generic out,Pop-up,-,-,3,Out,40,  0.12%,2,0
Single,Liner,-,-,9D,1st,40,  0.12%,1,0
Generic out,Grounder,-,-,23,Out,39,  0.12%,2,0
Generic out,Pop-up,-,-,4MD,Out,39,  0.12%,2,0
Generic out,Liner,-,-,5,Out,38,  0.12%,2,0
Error,Grounder,-,-,6,1st,38,  0.12%,1,0
Generic out,Pop-up,-,-,6MD,Out,38,  0.12%,2,0
Generic out,Pop-up,-,-,5,Out,38,  0.12%,2,0
Single,Liner,-,-,9LS,1st,36,  0.11%,1,0
Double,Liner,-,-,8XD,2nd,36,  0.11%,1,0
Generic out,Grounder,-,-,5S,Out,35,  0.11%,2,0
Generic out,Liner,-,-,4,Out,34,  0.10%,2,0
Generic out,Liner,-,-,4MD,Out,34,  0.10%,2,0
Double,Fly,-,-,9LD,2nd,32,  0.10%,1,0
Generic out,Pop-up,-,Y,3DF,Out,32,  0.10%,2,0
Double,Liner,-,-,7LS,2nd,32,  0.10%,1,0
Generic out,Pop-up,-,Y,5DF,Out,31,  0.09%,2,0
Generic out,Pop-up,-,-,6M,Out,31,  0.09%,2,0
Generic out,Fly,-,-,56D,Out,30,  0.09%,2,0
Single,Grounder,-,-,5S,1st,30,  0.09%,1,0
Double,Liner,-,-,7D,2nd,30,  0.09%,1,0
Generic out,Liner,-,-,6MD,Out,29,  0.09%,2,0
Single,Fly,-,-,8,1st,29,  0.09%,1,0
Single,Fly,-,-,8S,1st,29,  0.09%,1,0
Single,Fly,-,-,78S,1st,28,  0.09%,1,0
Double,Fly,-,-,7LD,2nd,28,  0.09%,1,0
Single,Fly,-,-,9LS,1st,27,  0.08%,1,0
Generic out,Grounder,-,-,3D,Out,27,  0.08%,2,0
Double,Liner,-,-,9D,2nd,27,  0.08%,1,0
Double,Liner,-,-,9LS,2nd,27,  0.08%,1,0
Generic out,Pop-up,-,-,8S,Out,27,  0.08%,2,0
Generic out,Pop-up,-,-,6S,Out,27,  0.08%,2,0
Generic out,Grounder,-,-,15,Out,27,  0.08%,2,0
Generic out,Liner,-,-,89XD,Out,26,  0.08%,2,0
Generic out,Pop-up,-,-,5D,Out,26,  0.08%,2,0
Generic out,Fly,-,-,6D,Out,26,  0.08%,2,0
Single,Fly,-,-,89S,1st,25,  0.08%,1,0
Generic out,Pop-up,-,-,34S,Out,25,  0.08%,2,0
Single,Grounder,-,-,25,1st,25,  0.08%,1,0
Generic out,Pop-up,-,-,3S,Out,25,  0.08%,2,0
Generic out,Fly,-,-,4D,Out,24,  0.07%,2,0
Generic out,Pop-up,-,-,56S,Out,23,  0.07%,2,0
Generic out,Pop-up,-,-,4M,Out,23,  0.07%,2,0
Single,Liner,-,-,7LD,1st,23,  0.07%,1,0
Generic out,Liner,-,-,9L,Out,22,  0.07%,2,0
Error,Grounder,-,-,56,1st,21,  0.06%,1,0
Single,Grounder,-,-,6S,1st,20,  0.06%,1,0
Generic out,Liner,-,-,56D,Out,19,  0.06%,2,0
Generic out,Liner,-,-,7LD,Out,19,  0.06%,2,0
Double,Fly,-,-,7D,2nd,19,  0.06%,1,0
Error,Grounder,-,-,34,1st,19,  0.06%,1,0
Single,Grounder,-,-,2,1st,19,  0.06%,1,0
Generic out,Fly,-,-,5D,Out,18,  0.06%,2,0
Double,Fly,-,-,9D,2nd,18,  0.06%,1,0
Generic out,Fly,-,Y,9LSF,Out,18,  0.06%,2,0
Generic out,Fly,-,Y,7LF,Out,18,  0.06%,2,0
Generic out,Fly,-,-,34D,Out,18,  0.06%,2,0
Double,Fly,-,-,8XD,2nd,18,  0.06%,1,0
Generic out,Grounder,-,-,25,Out,18,  0.06%,2,0
Generic out,Grounder,Y,-,2,Out,18,  0.06%,2,0
Generic out,Pop-up,-,-,4S,Out,17,  0.05%,2,0
Single,Fly,-,-,9S,1st,17,  0.05%,1,0
Generic out,Grounder,-,-,5D,Out,16,  0.05%,2,0
Generic out,Fly,-,-,3D,Out,16,  0.05%,2,0
Triple,Fly,-,-,89XD,3rd,16,  0.05%,1,0
Single,Liner,-,-,9LD,1st,16,  0.05%,1,0
Generic out,Liner,-,-,5D,Out,16,  0.05%,2,0
Generic out,Liner,-,-,6M,Out,15,  0.05%,2,0
Double,Liner,-,-,89,2nd,15,  0.05%,1,0
Generic out,Fly,-,Y,9LF,Out,14,  0.04%,2,0
Single,Liner,-,-,34D,1st,14,  0.04%,1,0
Generic out,Liner,-,-,7L,Out,14,  0.04%,2,0
Home run,Liner,-,-,9D,Score,13,  0.04%,1,1
Generic out,Grounder,Y,-,1S,Out,13,  0.04%,2,0
Generic out,Pop-up,-,-,23,Out,13,  0.04%,2,0
Single,Grounder,Y,-,25,1st,13,  0.04%,1,0
Error,Grounder,-,-,4,1st,13,  0.04%,1,0
Double,Liner,-,-,5D,2nd,13,  0.04%,1,0
Double,Fly,-,-,7L,2nd,13,  0.04%,1,0
Generic out,Pop-up,-,-,89S,Out,13,  0.04%,2,0
Home run,Liner,-,-,89XD,Score,13,  0.04%,1,1
Single,Liner,-,-,7LS,1st,12,  0.04%,1,0
Strikeout,-,-,-,-,1st,12,  0.04%,1,0
Home run,Liner,-,-,78XD,Score,12,  0.04%,1,1
Generic out,Liner,-,-,9LD,Out,12,  0.04%,2,0
Generic out,Pop-up,-,-,1S,Out,12,  0.04%,2,0
Generic out,Liner,-,-,9S,Out,12,  0.04%,2,0
Triple,Liner,-,-,89XD,3rd,12,  0.04%,1,0
Single,Fly,-,-,89,1st,12,  0.04%,1,0
Single,Fly,-,-,7LS,1st,12,  0.04%,1,0
Home run,Liner,-,-,7D,Score,12,  0.04%,1,1
Generic out,Pop-up,-,-,6MS,Out,12,  0.04%,2,0
Double,Fly,-,-,7LS,2nd,11,  0.03%,1,0
Generic out,Pop-up,-,Y,23F,Out,11,  0.03%,2,0
Double,Liner,-,-,78,2nd,11,  0.03%,1,0
Single,Fly,-,-,78,1st,11,  0.03%,1,0
Generic out,Fly,-,Y,7LSF,Out,11,  0.03%,2,0
Generic out,Pop-up,-,-,78S,Out,11,  0.03%,2,0
Triple,Liner,-,-,9LD,3rd,10,  0.03%,1,0
