Play,Type,Bnt,Fl,Loc,B,R2,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,2nd,1542, 21.77%,3,0
Walk,-,-,-,-,1st,2nd,713, 10.07%,2,0
Generic out,Grounder,-,-,6,Out,2nd,252,  3.56%,3,0
Generic out,Grounder,-,-,34,Out,2nd,228,  3.22%,3,0
Generic out,Grounder,-,-,3,Out,2nd,166,  2.34%,3,0
Generic out,Grounder,-,-,56,Out,2nd,154,  2.17%,3,0
Intentional walk,-,-,-,-,1st,2nd,148,  2.09%,2,0
Generic out,Grounder,-,-,4,Out,2nd,140,  1.98%,3,0
Wild pitch,-,-,-,-,Stays,3rd,120,  1.69%,2,0
Generic out,Fly,-,-,8XD,Out,2nd,84,  1.19%,3,0
Stolen base,-,-,-,-,Stays,3rd,81,  1.14%,2,0
Hit by pitch,-,-,-,-,1st,2nd,74,  1.04%,2,0
Generic out,Fly,-,-,9D,Out,2nd,65,  0.92%,3,0
Generic out,Fly,-,-,8D,Out,2nd,56,  0.79%,3,0
Generic out,Grounder,-,-,5,Out,2nd,53,  0.75%,3,0
Single,Grounder,-,-,34,1st,Score,53,  0.75%,2,1
Generic out,Grounder,-,-,6M,Out,2nd,50,  0.71%,3,0
Generic out,Grounder,-,-,1S,Out,2nd,49,  0.69%,3,0
Generic out,Fly,-,-,89D,Out,2nd,48,  0.68%,3,0
Generic out,Fly,-,-,7D,Out,2nd,47,  0.66%,3,0
Generic out,Fly,-,-,78XD,Out,2nd,43,  0.61%,3,0
Generic out,Fly,-,-,8,Out,2nd,42,  0.59%,3,0
Single,Liner,-,-,8,1st,Score,41,  0.58%,2,1
Home run,Fly,-,-,7D,Score,Score,40,  0.56%,2,2
Single,Grounder,-,-,6,1st,Score,40,  0.56%,2,1
Single,Grounder,-,-,4M,1st,Score,39,  0.55%,2,1
Generic out,Fly,-,-,78D,Out,2nd,37,  0.52%,3,0
Generic out,Fly,-,-,89,Out,2nd,36,  0.51%,3,0
Generic out,Fly,-,-,9,Out,2nd,35,  0.49%,3,0
Generic out,Liner,-,-,8,Out,2nd,34,  0.48%,3,0
Single,Liner,-,-,89,1st,Score,34,  0.48%,2,1
Generic out,Fly,-,-,7,Out,2nd,34,  0.48%,3,0
Generic out,Grounder,-,-,56S,Out,2nd,34,  0.48%,3,0
Generic out,Fly,-,-,78,Out,2nd,33,  0.47%,3,0
Single,Grounder,-,-,4,1st,Score,32,  0.45%,2,1
Generic out,Grounder,-,-,4M,Out,2nd,32,  0.45%,3,0
Generic out,Fly,-,-,9L,Out,2nd,30,  0.42%,3,0
Single,Grounder,-,-,56,1st,Score,30,  0.42%,2,1
Single,Liner,-,-,78,1st,Score,30,  0.42%,2,1
Home run,Fly,-,-,9D,Score,Score,29,  0.41%,2,2
Generic out,Pop-up,-,Y,3F,Out,2nd,28,  0.40%,3,0
Generic out,Liner,-,-,8D,Out,2nd,27,  0.38%,3,0
Single,Grounder,-,-,56,1st,3rd,27,  0.38%,2,0
Generic out,Liner,-,-,8XD,Out,2nd,27,  0.38%,3,0
Generic out,Fly,-,-,9LD,Out,2nd,25,  0.35%,3,0
Generic out,Fly,-,-,7S,Out,2nd,24,  0.34%,3,0
Generic out,Fly,-,-,78S,Out,2nd,24,  0.34%,3,0
Generic out,Liner,-,-,89D,Out,2nd,24,  0.34%,3,0
Generic out,Fly,-,-,89XD,Out,2nd,24,  0.34%,3,0
Generic out,Liner,-,-,9,Out,2nd,24,  0.34%,3,0
Generic out,Liner,-,-,9D,Out,2nd,23,  0.32%,3,0
Generic out,Fly,-,-,8S,Out,2nd,23,  0.32%,3,0
Double,Liner,-,-,78XD,2nd,Score,23,  0.32%,2,1
Generic out,Grounder,-,-,6S,Out,2nd,23,  0.32%,3,0
Home run,Fly,-,-,8XD,Score,Score,22,  0.31%,2,2
Double,Liner,-,-,9LD,2nd,Score,22,  0.31%,2,1
Generic out,Liner,-,-,7,Out,2nd,22,  0.31%,3,0
Single,Grounder,-,-,6M,1st,Score,22,  0.31%,2,1
Generic out,Grounder,-,-,34S,Out,2nd,21,  0.30%,3,0
Generic out,Liner,-,-,78D,Out,2nd,21,  0.30%,3,0
Generic out,Pop-up,-,-,6,Out,2nd,20,  0.28%,3,0
Single,Liner,-,-,78D,1st,Score,19,  0.27%,2,1
Generic out,Pop-up,-,Y,2F,Out,2nd,18,  0.25%,3,0
Home run,Fly,-,-,89XD,Score,Score,18,  0.25%,2,2
Single,Liner,-,-,9,1st,Score,18,  0.25%,2,1
Single,Liner,-,-,8S,1st,Score,18,  0.25%,2,1
Generic out,Grounder,-,-,4D,Out,2nd,18,  0.25%,3,0
Walk,-,-,-,-,1st,3rd,18,  0.25%,2,0
Home run,Fly,-,-,7LD,Score,Score,17,  0.24%,2,2
Single,Liner,-,-,7,1st,Score,17,  0.24%,2,1
Home run,Fly,-,-,9LD,Score,Score,17,  0.24%,2,2
Single,Liner,-,-,89D,1st,Score,17,  0.24%,2,1
