Play,Type,Bnt,Fl,Loc,B,R1,R2,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,1st,2nd,503, 18.48%,1,0
Walk,-,-,-,-,1st,2nd,3rd,205,  7.53%,0,0
Generic out,Grounder,-,-,6,Out,Out,3rd,70,  2.57%,2,0
Generic out,Grounder,Y,-,2,Out,2nd,3rd,56,  2.06%,1,0
Wild pitch,-,-,-,-,Stays,2nd,3rd,49,  1.80%,0,0
Generic out,Grounder,Y,-,25,Out,2nd,3rd,44,  1.62%,1,0
Generic out,Grounder,Y,-,1S,Out,2nd,3rd,39,  1.43%,1,0
Generic out,Grounder,-,-,4,Out,Out,3rd,36,  1.32%,2,0
Generic out,Grounder,-,-,56,Out,Out,3rd,31,  1.14%,2,0
Hit by pitch,-,-,-,-,1st,2nd,3rd,30,  1.10%,0,0
Generic out,Grounder,-,-,34,1st,Out,3rd,28,  1.03%,1,0
Generic out,Grounder,-,-,6,1st,Out,3rd,23,  0.84%,1,0
Generic out,Grounder,-,-,3,Out,2nd,3rd,23,  0.84%,1,0
Generic out,Grounder,-,-,6M,Out,Out,3rd,22,  0.81%,2,0
Generic out,Fly,-,-,8XD,Out,1st,3rd,21,  0.77%,1,0
Generic out,Fly,-,-,7D,Out,1st,2nd,20,  0.73%,1,0
Generic out,Fly,-,-,9D,Out,1st,3rd,20,  0.73%,1,0
Generic out,Grounder,-,-,34,Out,Out,3rd,19,  0.70%,2,0
Generic out,Fly,-,-,89D,Out,1st,3rd,19,  0.70%,1,0
Generic out,Grounder,-,-,56,1st,Out,3rd,18,  0.66%,1,0
Generic out,Fly,-,-,8,Out,1st,2nd,18,  0.66%,1,0
Generic out,Grounder,-,-,3,1st,Out,3rd,17,  0.62%,1,0
Generic out,Grounder,-,-,34,Out,2nd,3rd,17,  0.62%,1,0
Home run,Fly,-,-,7D,Score,Score,Score,17,  0.62%,0,3
Generic out,Grounder,-,-,4,1st,Out,3rd,17,  0.62%,1,0
Double,Liner,-,-,7LD,2nd,3rd,Score,16,  0.59%,0,1
Single,Liner,-,-,8,1st,2nd,3rd,15,  0.55%,0,0
Single,Grounder,-,-,56,1st,2nd,3rd,15,  0.55%,0,0
Stolen base,-,-,-,-,Stays,2nd,3rd,15,  0.55%,0,0
Generic out,Fly,-,-,89,Out,1st,2nd,14,  0.51%,1,0
Home run,Fly,-,-,89XD,Score,Score,Score,14,  0.51%,0,3
Home run,Fly,-,-,9D,Score,Score,Score,14,  0.51%,0,3
Single,Liner,-,-,7,1st,2nd,3rd,14,  0.51%,0,0
Generic out,Fly,-,-,89XD,Out,1st,3rd,14,  0.51%,1,0
Generic out,Fly,-,-,7,Out,1st,2nd,13,  0.48%,1,0
Generic out,Liner,-,-,8D,Out,1st,2nd,13,  0.48%,1,0
Generic out,Fly,-,-,9S,Out,1st,2nd,13,  0.48%,1,0
Generic out,Fly,-,-,78D,Out,1st,2nd,13,  0.48%,1,0
Single,Grounder,-,-,6M,1st,2nd,Score,12,  0.44%,0,1
Generic out,Fly,-,-,9,Out,1st,2nd,12,  0.44%,1,0
Home run,Fly,-,-,78XD,Score,Score,Score,12,  0.44%,0,3
Single,Grounder,Y,-,2,1st,2nd,3rd,11,  0.40%,0,0
Single,Liner,-,-,9,1st,2nd,3rd,11,  0.40%,0,0
Single,Grounder,-,-,6,1st,2nd,3rd,11,  0.40%,0,0
Generic out,Liner,-,-,7D,Out,1st,2nd,11,  0.40%,1,0
Single,Grounder,-,-,56,1st,2nd,Score,10,  0.37%,0,1
Generic out,Fly,-,-,78XD,Out,1st,3rd,10,  0.37%,1,0
Generic out,Fly,-,-,78,Out,1st,2nd,10,  0.37%,1,0
Single,Grounder,-,-,34,1st,3rd,Score,10,  0.37%,0,1
Generic out,Pop-up,-,-,4D,Out,1st,2nd,9,  0.33%,1,0
Generic out,Liner,-,-,7,Out,1st,2nd,9,  0.33%,1,0
Double,Grounder,-,-,5,2nd,3rd,Score,9,  0.33%,0,1
Generic out,Grounder,-,-,56,Out,2nd,Out,9,  0.33%,2,0
Generic out,Grounder,Y,-,1S,1st,2nd,Out,9,  0.33%,1,0
Generic out,Pop-up,-,Y,3F,Out,1st,2nd,9,  0.33%,1,0
Balk,-,-,-,-,Stays,2nd,3rd,8,  0.29%,0,0
Single,Grounder,-,-,34,1st,2nd,3rd,8,  0.29%,0,0
Passed ball,-,-,-,-,Stays,2nd,3rd,8,  0.29%,0,0
Generic out,Liner,-,-,78,Out,1st,2nd,8,  0.29%,1,0
Generic out,Grounder,-,-,2,Out,2nd,3rd,8,  0.29%,1,0
Generic out,Fly,-,-,78S,Out,1st,2nd,8,  0.29%,1,0
Generic out,Liner,-,-,8XD,Out,1st,3rd,8,  0.29%,1,0
Generic out,Grounder,-,-,6,Out,2nd,3rd,8,  0.29%,1,0
Generic out,Fly,-,-,7S,Out,1st,2nd,8,  0.29%,1,0
Generic out,Grounder,-,-,4,Out,2nd,3rd,8,  0.29%,1,0
Home run,Fly,-,-,7LD,Score,Score,Score,8,  0.29%,0,3
Pickoff,-,-,-,-,Stays,1st,Out,8,  0.29%,1,0
Generic out,Grounder,Y,-,23,Out,2nd,3rd,8,  0.29%,1,0
Generic out,Fly,-,-,8D,Out,1st,2nd,7,  0.26%,1,0
Double,Liner,-,-,78XD,2nd,3rd,Score,7,  0.26%,0,1
Generic out,Liner,-,-,89,Out,1st,2nd,7,  0.26%,1,0
Generic out,Liner,-,-,9D,Out,1st,3rd,7,  0.26%,1,0
Double,Grounder,-,-,3,2nd,3rd,Score,7,  0.26%,0,1
Home run,Fly,-,-,8XD,Score,Score,Score,7,  0.26%,0,3
Home run,Fly,-,-,9LD,Score,Score,Score,7,  0.26%,0,3
Generic out,Grounder,-,-,4M,Out,Out,3rd,7,  0.26%,2,0
Generic out,Grounder,-,-,56,1st,2nd,Out,7,  0.26%,1,0
Double,Liner,-,-,9LD,2nd,3rd,Score,7,  0.26%,0,1
Generic out,Pop-up,-,Y,5F,Out,1st,2nd,7,  0.26%,1,0
Generic out,Grounder,-,-,5,Out,2nd,Out,6,  0.22%,2,0
Generic out,Pop-up,-,-,6D,Out,1st,2nd,6,  0.22%,1,0
Generic out,Grounder,Y,-,2,1st,2nd,Out,6,  0.22%,1,0
Single,Liner,-,-,78S,1st,2nd,3rd,6,  0.22%,0,0
Single,Grounder,-,-,4M,1st,3rd,Score,6,  0.22%,0,1
Generic out,Liner,-,-,6,Out,1st,2nd,6,  0.22%,1,0
Generic out,Pop-up,Y,Y,25F,Out,1st,2nd,6,  0.22%,1,0
Single,Grounder,-,-,4M,1st,2nd,Score,6,  0.22%,0,1
Generic out,Fly,-,-,9LD,Out,1st,3rd,6,  0.22%,1,0
Single,Grounder,-,-,4,1st,3rd,Score,5,  0.18%,0,1
Single,Liner,-,-,7S,1st,2nd,3rd,5,  0.18%,0,0
Generic out,Grounder,Y,-,56S,Out,2nd,3rd,5,  0.18%,1,0
Generic out,Liner,-,-,9,Out,1st,2nd,5,  0.18%,1,0
Generic out,Grounder,Y,-,23,1st,2nd,Out,5,  0.18%,1,0
Generic out,Pop-up,-,-,3D,Out,1st,2nd,5,  0.18%,1,0
Generic out,Pop-up,-,-,56,Out,1st,2nd,5,  0.18%,1,0
Generic out,Fly,-,-,89D,Out,1st,2nd,5,  0.18%,1,0
Double,Liner,-,-,7L,2nd,3rd,Score,5,  0.18%,0,1
Generic out,Pop-up,-,Y,5SF,Out,1st,2nd,5,  0.18%,1,0
Single,Liner,-,-,9S,1st,2nd,3rd,5,  0.18%,0,0
Generic out,Fly,-,-,7LS,Out,1st,2nd,5,  0.18%,1,0
Generic out,Pop-up,-,-,6,Out,1st,2nd,5,  0.18%,1,0
Single,Grounder,-,-,6M,1st,2nd,3rd,5,  0.18%,0,0
Double,Liner,-,-,78D,2nd,3rd,Score,5,  0.18%,0,1
Generic out,Fly,-,-,7L,Out,1st,2nd,5,  0.18%,1,0
Single,Grounder,Y,-,1S,1st,2nd,3rd,5,  0.18%,0,0
Generic out,Liner,-,-,8,Out,1st,2nd,5,  0.18%,1,0
Generic out,Pop-up,-,-,34D,Out,1st,2nd,5,  0.18%,1,0
Fielder's choice,Grounder,Y,-,1S,1st,2nd,3rd,5,  0.18%,0,0
Generic out,Fly,-,-,8D,Out,1st,3rd,5,  0.18%,1,0
Generic out,Grounder,-,-,1S,Out,2nd,3rd,5,  0.18%,1,0
Generic out,Pop-up,-,-,4MD,Out,1st,2nd,4,  0.15%,1,0
Generic out,Liner,-,-,78D,Out,1st,2nd,4,  0.15%,1,0
Double,Liner,-,-,7LD,2nd,Score,Score,4,  0.15%,0,2
