Play,Type,Bnt,Fl,Loc,B,R2,R3,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,2nd,3rd,134, 19.45%,1,0
Walk,-,-,-,-,1st,2nd,3rd,60,  8.71%,0,0
Intentional walk,-,-,-,-,1st,2nd,3rd,12,  1.74%,0,0
Generic out,Grounder,-,-,34,Out,3rd,Score,11,  1.60%,1,1
Generic out,Grounder,-,-,56,Out,2nd,3rd,10,  1.45%,1,0
Generic out,Grounder,-,-,6,Out,2nd,3rd,10,  1.45%,1,0
Generic out,Grounder,-,-,4,Out,3rd,Score,10,  1.45%,1,1
Single,Grounder,-,-,6,1st,3rd,Score,8,  1.16%,0,1
Single,Grounder,-,-,56,1st,3rd,Score,8,  1.16%,0,1
Generic out,Fly,-,-,8XD,Out,3rd,Score,7,  1.02%,1,1
Generic out,Grounder,-,-,34,Out,2nd,3rd,7,  1.02%,1,0
Generic out,Fly,-,-,9D,Out,3rd,Score,7,  1.02%,1,1
Generic out,Grounder,-,-,56,Out,2nd,Score,7,  1.02%,1,1
Generic out,Grounder,-,-,6,Out,2nd,Score,7,  1.02%,1,1
Wild pitch,-,-,-,-,Stays,3rd,Score,7,  1.02%,0,1
Generic out,Liner,-,-,8D,Out,2nd,Score,6,  0.87%,1,1
Generic out,Grounder,-,-,6,Out,3rd,Score,6,  0.87%,1,1
Generic out,Fly,-,-,8D,Out,2nd,Score,5,  0.73%,1,1
Generic out,Grounder,-,-,6S,Out,2nd,3rd,5,  0.73%,1,0
Generic out,Grounder,-,-,56S,Out,2nd,3rd,5,  0.73%,1,0
Single,Grounder,-,-,34,1st,3rd,Score,5,  0.73%,0,1
Generic out,Grounder,-,-,3,Out,3rd,Score,5,  0.73%,1,1
Single,Liner,-,-,78,1st,Score,Score,4,  0.58%,0,2
Generic out,Fly,-,-,89,Out,2nd,Score,4,  0.58%,1,1
Home run,Fly,-,-,7D,Score,Score,Score,4,  0.58%,0,3
Generic out,Fly,-,-,78XD,Out,3rd,Score,4,  0.58%,1,1
Generic out,Grounder,-,-,6M,Out,3rd,Score,4,  0.58%,1,1
Generic out,Fly,-,-,89XD,Out,3rd,Score,4,  0.58%,1,1
Home run,Fly,-,-,7LD,Score,Score,Score,4,  0.58%,0,3
Generic out,Grounder,-,-,13,Out,2nd,3rd,4,  0.58%,1,0
Generic out,Fly,-,-,9,Out,3rd,Score,4,  0.58%,1,1
Generic out,Grounder,-,-,6MS,Out,2nd,3rd,4,  0.58%,1,0
Generic out,Fly,-,-,78D,Out,2nd,Score,3,  0.44%,1,1
Single,Grounder,-,-,34,1st,Score,Score,3,  0.44%,0,2
Double,Liner,-,-,89D,2nd,Score,Score,3,  0.44%,0,2
Generic out,Fly,-,-,7LS,Out,2nd,3rd,3,  0.44%,1,0
Single,Liner,-,-,8,1st,3rd,Score,3,  0.44%,0,1
