Play,Type,Bnt,Fl,Loc,B,R3,Count,Probability,New Outs,Runs
Generic out,Liner,-,-,3,Out,3rd,1,  0.25%,1,0
Double,Fly,-,-,8,2nd,Score,1,  0.25%,0,1
Single,Grounder,-,-,4,1st,Score,1,  0.25%,0,1
Generic out,Pop-up,-,Y,3SF,Out,3rd,1,  0.25%,1,0
Fielder's choice,Grounder,-,-,34,1st,Score,1,  0.25%,0,1
Double,Liner,-,-,7D,2nd,Score,1,  0.25%,0,1
Double,Fly,-,-,78S,2nd,Score,1,  0.25%,0,1
Generic out,Pop-up,-,-,6M,Out,3rd,1,  0.25%,1,0
Single,Grounder,-,-,25,1st,3rd,1,  0.25%,0,0
Generic out,Fly,-,Y,7LSF,Out,3rd,1,  0.25%,1,0
Generic out,Pop-up,-,Y,5F,Out,3rd,1,  0.25%,1,0
Error,Grounder,-,-,56,1st,3rd,1,  0.25%,0,0
Generic out,Liner,-,-,9,Out,Score,1,  0.25%,1,1
Generic out,Pop-up,-,-,34S,Out,3rd,1,  0.25%,1,0
Home run,Fly,-,-,7D,Score,Score,1,  0.25%,0,2
Triple,Fly,-,-,9L,3rd,Score,1,  0.25%,0,1
Single,Grounder,-,-,2,1st,3rd,1,  0.25%,0,0
Single,Grounder,-,-,25,1st,Score,1,  0.25%,0,1
Double,Liner,-,-,9LS,2nd,Score,1,  0.25%,0,1
Single,Fly,-,-,78,1st,Score,1,  0.25%,0,1
Generic out,Fly,-,-,9LS,Out,3rd,1,  0.25%,1,0
Single,Liner,-,-,89S,1st,Score,1,  0.25%,0,1
Triple,Liner,-,-,89XD,3rd,Score,1,  0.25%,0,1
Single,Liner,-,-,89D,1st,Score,1,  0.25%,0,1
Generic out,Grounder,-,-,56S,Out,Score,1,  0.25%,1,1
Generic out,Liner,-,-,56S,Out,3rd,1,  0.25%,1,0
Generic out,Pop-up,-,-,4D,Out,3rd,1,  0.25%,1,0
Generic out,Grounder,-,-,5S,Out,3rd,1,  0.25%,1,0
Single,Liner,-,-,78,1st,Score,1,  0.25%,0,1
Single,Grounder,-,-,5,1st,3rd,1,  0.25%,0,0
Generic out,Liner,-,-,89D,Out,Score,1,  0.25%,1,1
Generic out,Fly,-,-,9S,Out,Score,1,  0.25%,1,1
Single,Liner,-,-,9LS,1st,Score,1,  0.25%,0,1
Fielder's choice,Grounder,-,-,1,2nd,Score,1,  0.25%,0,1
Generic out,Fly,-,-,7L,Out,3rd,1,  0.25%,1,0
Generic out,Liner,-,-,6M,Out,3rd,1,  0.25%,1,0
Double,Liner,-,-,8XD,2nd,Score,1,  0.25%,0,1
Generic out,Grounder,-,-,6S,Out,Score,1,  0.25%,1,1
Double,Fly,-,-,9D,2nd,Score,1,  0.25%,0,1
Single,Liner,-,-,78S,1st,Score,1,  0.25%,0,1
Generic out,Liner,-,-,7,Out,Score,1,  0.25%,1,1
Generic out,Fly,-,-,9L,Out,Score,1,  0.25%,1,1
Generic out,Liner,-,-,4,Out,3rd,1,  0.25%,1,0
Generic out,Pop-up,-,Y,5SF,Out,3rd,1,  0.25%,1,0
Single,Liner,-,-,4MD,1st,Score,1,  0.25%,0,1
Error,Grounder,-,-,3S,1st,3rd,1,  0.25%,0,0
Home run,Fly,-,-,89XD,Score,Score,1,  0.25%,0,2
Single,Grounder,-,-,3,1st,Score,1,  0.25%,0,1
Double,Liner,-,-,9LD,2nd,Score,1,  0.25%,0,1
Single,Grounder,-,-,56S,1st,Score,1,  0.25%,0,1
Double,Fly,-,-,89XD,2nd,Score,1,  0.25%,0,1
Double,Fly,-,-,7D,2nd,Score,1,  0.25%,0,1
Generic out,Liner,-,-,89,Out,3rd,1,  0.25%,1,0
Single,Grounder,-,-,5,1st,Score,1,  0.25%,0,1
Double,Liner,-,-,9L,2nd,Score,1,  0.25%,0,1
Generic out,Fly,-,-,9D,Out,Score,1,  0.25%,1,1
Generic out,Grounder,-,-,4M,Out,Score,1,  0.25%,1,1
Generic out,Pop-up,-,-,7S,Out,3rd,1,  0.25%,1,0
Triple,Fly,-,-,89XD,3rd,Score,1,  0.25%,0,1
Single,Grounder,-,-,1S,1st,Score,1,  0.25%,0,1
Double,Liner,-,-,9D,3rd,Score,1,  0.25%,0,1
Generic out,Grounder,-,-,6M,Out,3rd,1,  0.25%,1,0
Generic out,Fly,-,Y,9LF,Out,3rd,1,  0.25%,1,0
Generic out,Liner,-,-,5S,Out,3rd,1,  0.25%,1,0
Triple,Liner,-,-,89D,3rd,Score,1,  0.25%,0,1
Generic out,Grounder,-,-,13,Out,3rd,1,  0.25%,1,0
Generic out,Liner,-,-,34,Out,3rd,1,  0.25%,1,0
Generic out,Fly,-,-,78,Out,Score,1,  0.25%,1,1
Generic out,Fly,-,-,7L,Out,Score,1,  0.25%,1,1
Home run,Liner,-,-,78XD,Score,Score,1,  0.25%,0,2
Fielder's choice,Grounder,-,-,56,1st,3rd,1,  0.25%,0,0
Double,Fly,-,-,78XD,2nd,Score,1,  0.25%,0,1
