Play,Type,Bnt,Fl,Loc,B,R3,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,3rd,71, 17.40%,1,0
Walk,-,-,-,-,1st,3rd,43, 10.54%,0,0
Generic out,Grounder,-,-,3,Out,3rd,7,  1.72%,1,0
Generic out,Grounder,-,-,56,Out,3rd,7,  1.72%,1,0
Generic out,Grounder,-,-,34,Out,3rd,7,  1.72%,1,0
Generic out,Grounder,-,-,6,Out,Score,6,  1.47%,1,1
Generic out,Grounder,-,-,6S,Out,3rd,6,  1.47%,1,0
Single,Grounder,-,-,6,1st,Score,6,  1.47%,0,1
Generic out,Fly,-,-,8XD,Out,Score,6,  1.47%,1,1
Single,Grounder,-,-,6M,1st,Score,5,  1.23%,0,1
Single,Grounder,-,-,56,1st,Score,5,  1.23%,0,1
Generic out,Fly,-,-,8D,Out,Score,5,  1.23%,1,1
Wild pitch,-,-,-,-,Stays,Score,5,  1.23%,0,1
Generic out,Grounder,-,-,6,Out,3rd,5,  1.23%,1,0
Generic out,Grounder,-,-,56S,Out,3rd,5,  1.23%,1,0
Single,Grounder,-,-,34,1st,Score,5,  1.23%,0,1
Generic out,Grounder,-,-,4,Out,Score,4,  0.98%,1,1
Generic out,Grounder,-,-,34,Out,Score,4,  0.98%,1,1
Single,Liner,-,-,8,1st,Score,4,  0.98%,0,1
Generic out,Grounder,-,-,34S,Out,3rd,4,  0.98%,1,0
Generic out,Grounder,-,-,4,Out,3rd,4,  0.98%,1,0
Generic out,Grounder,-,-,56,Out,Score,4,  0.98%,1,1
Generic out,Fly,-,-,89,Out,Score,3,  0.74%,1,1
Generic out,Fly,-,-,78D,Out,Score,3,  0.74%,1,1
Single,Liner,-,-,8D,1st,Score,3,  0.74%,0,1
Generic out,Fly,-,-,9S,Out,3rd,3,  0.74%,1,0
Generic out,Pop-up,-,Y,3F,Out,3rd,3,  0.74%,1,0
Generic out,Pop-up,-,-,34,Out,3rd,3,  0.74%,1,0
Double,Liner,-,-,7LD,2nd,Score,3,  0.74%,0,1
Hit by pitch,-,-,-,-,1st,3rd,3,  0.74%,0,0
Generic out,Pop-up,-,Y,2F,Out,3rd,3,  0.74%,1,0
Double,Liner,-,-,7L,2nd,Score,3,  0.74%,0,1
Single,Liner,-,-,89,1st,Score,3,  0.74%,0,1
Generic out,Grounder,-,-,3S,Out,3rd,3,  0.74%,1,0
Intentional walk,-,-,-,-,1st,3rd,3,  0.74%,0,0
Single,Liner,-,-,78D,1st,Score,3,  0.74%,0,1
Generic out,Grounder,-,-,1,Out,3rd,3,  0.74%,1,0
Generic out,Fly,-,-,7D,Out,Score,3,  0.74%,1,1
Generic out,Fly,-,-,89D,Out,Score,2,  0.49%,1,1
Generic out,Grounder,-,-,6MS,Out,3rd,2,  0.49%,1,0
Generic out,Liner,-,-,78D,Out,Score,2,  0.49%,1,1
Generic out,Grounder,-,-,1S,Out,3rd,2,  0.49%,1,0
Generic out,Fly,-,-,9,Out,Score,2,  0.49%,1,1
Double,Liner,-,-,89D,2nd,Score,2,  0.49%,0,1
Generic out,Pop-up,-,-,5,Out,3rd,2,  0.49%,1,0
Home run,Fly,-,-,9D,Score,Score,2,  0.49%,0,2
Generic out,Liner,-,-,7D,Out,Score,2,  0.49%,1,1
Generic out,Liner,-,-,9D,Out,Score,2,  0.49%,1,1
Generic out,Fly,-,-,8,Out,Score,2,  0.49%,1,1
Single,Liner,-,-,7,1st,Score,2,  0.49%,0,1
Single,Liner,-,-,9S,1st,Score,2,  0.49%,0,1
Generic out,Liner,-,-,8D,Out,Score,2,  0.49%,1,1
Other advance,-,-,-,-,Stays,Out,2,  0.49%,1,0
Generic out,Grounder,-,-,4S,Out,3rd,2,  0.49%,1,0
Double,Liner,-,-,5D,2nd,Score,2,  0.49%,0,1
Generic out,Fly,-,-,78XD,Out,Score,2,  0.49%,1,1
Generic out,Liner,-,-,56,Out,3rd,2,  0.49%,1,0
Generic out,Fly,-,-,89S,Out,3rd,2,  0.49%,1,0
Generic out,Liner,-,-,9,Out,3rd,2,  0.49%,1,0
Generic out,Fly,-,-,7,Out,Score,2,  0.49%,1,1
Generic out,Grounder,-,-,2,Out,3rd,2,  0.49%,1,0
Generic out,Grounder,-,-,3,Out,Score,2,  0.49%,1,1
Single,Liner,-,-,8S,1st,Score,2,  0.49%,0,1
Single,Grounder,-,-,4M,1st,Score,2,  0.49%,0,1
Generic out,Grounder,-,-,4MS,Out,3rd,2,  0.49%,1,0
Generic out,Liner,-,-,78,Out,Score,2,  0.49%,1,1
Generic out,Fly,-,-,8S,Out,3rd,2,  0.49%,1,0
Generic out,Fly,-,-,9LS,Out,Score,1,  0.25%,1,1
Generic out,Liner,-,-,4M,Out,3rd,1,  0.25%,1,0
Generic out,Pop-up,-,-,4,Out,3rd,1,  0.25%,1,0
Generic out,Grounder,-,-,4D,Out,Score,1,  0.25%,1,1
Generic out,Fly,-,Y,9LDF,Out,Score,1,  0.25%,1,1
Single,Liner,-,-,9L,1st,Score,1,  0.25%,0,1
Double,Liner,-,-,78,2nd,Score,1,  0.25%,0,1
Generic out,Pop-up,-,-,89S,Out,3rd,1,  0.25%,1,0
Error,Grounder,-,-,6,1st,Score,1,  0.25%,0,1
Generic out,Pop-up,-,-,34D,Out,3rd,1,  0.25%,1,0
Double,Grounder,-,-,5,2nd,Score,1,  0.25%,0,1
Generic out,Grounder,-,-,5,Out,3rd,1,  0.25%,1,0
