Play,Type,Bnt,Fl,Loc,B,R1,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,1st,1860, 17.49%,1,0
Walk,-,-,-,-,1st,2nd,695,  6.54%,0,0
Stolen base,-,-,-,-,Stays,2nd,505,  4.75%,0,0
Generic out,Grounder,-,-,6,Out,Out,235,  2.21%,2,0
Wild pitch,-,-,-,-,Stays,2nd,164,  1.54%,0,0
Caught stealing,-,-,-,-,Stays,Out,130,  1.22%,1,0
Generic out,Grounder,-,-,56,Out,Out,128,  1.20%,2,0
Generic out,Fly,-,-,8XD,Out,1st,122,  1.15%,1,0
Generic out,Grounder,-,-,6,1st,Out,121,  1.14%,1,0
Generic out,Grounder,-,-,4,Out,Out,117,  1.10%,2,0
Generic out,Grounder,-,-,34,1st,Out,117,  1.10%,1,0
Hit by pitch,-,-,-,-,1st,2nd,116,  1.09%,0,0
Single,Grounder,-,-,34,1st,2nd,103,  0.97%,0,0
Generic out,Fly,-,-,8D,Out,1st,96,  0.90%,1,0
Generic out,Grounder,-,-,34,Out,Out,92,  0.87%,2,0
Single,Grounder,-,-,56,1st,2nd,92,  0.87%,0,0
Generic out,Fly,-,-,89D,Out,1st,82,  0.77%,1,0
Generic out,Fly,-,-,8,Out,1st,80,  0.75%,1,0
Strikeout,-,-,-,-,Out,2nd,79,  0.74%,1,0
Generic out,Grounder,-,-,56,1st,Out,75,  0.71%,1,0
Generic out,Grounder,-,-,34,Out,2nd,75,  0.71%,1,0
Generic out,Fly,-,-,9D,Out,1st,74,  0.70%,1,0
Single,Grounder,-,-,6,1st,2nd,69,  0.65%,0,0
Generic out,Grounder,-,-,4,1st,Out,69,  0.65%,1,0
Single,Liner,-,-,8,1st,2nd,65,  0.61%,0,0
Generic out,Fly,-,-,7D,Out,1st,64,  0.60%,1,0
Generic out,Fly,-,-,9,Out,1st,64,  0.60%,1,0
Single,Grounder,-,-,34,1st,3rd,64,  0.60%,0,0
Generic out,Grounder,-,-,6M,Out,Out,63,  0.59%,2,0
Single,Liner,-,-,9,1st,2nd,60,  0.56%,0,0
Generic out,Liner,-,-,8D,Out,1st,60,  0.56%,1,0
Generic out,Fly,-,-,78,Out,1st,60,  0.56%,1,0
Single,Liner,-,-,7,1st,2nd,57,  0.54%,0,0
Home run,Fly,-,-,7D,Score,Score,57,  0.54%,0,2
Pickoff,-,-,-,-,Stays,Out,55,  0.52%,1,0
Generic out,Fly,-,-,89XD,Out,1st,55,  0.52%,1,0
Strikeout,-,-,-,-,Out,Out,54,  0.51%,2,0
Generic out,Grounder,-,-,3,Out,Out,53,  0.50%,2,0
Single,Grounder,-,-,6M,1st,2nd,53,  0.50%,0,0
Generic out,Fly,-,-,78D,Out,1st,52,  0.49%,1,0
Home run,Fly,-,-,78XD,Score,Score,50,  0.47%,0,2
Generic out,Fly,-,-,89,Out,1st,50,  0.47%,1,0
Generic out,Fly,-,-,78XD,Out,1st,47,  0.44%,1,0
Single,Liner,-,-,78,1st,2nd,46,  0.43%,0,0
Generic out,Grounder,Y,-,2,Out,2nd,45,  0.42%,1,0
Generic out,Grounder,-,-,4,Out,2nd,44,  0.41%,1,0
Generic out,Liner,-,-,9,Out,1st,44,  0.41%,1,0
Single,Grounder,-,-,4M,1st,2nd,42,  0.40%,0,0
Generic out,Grounder,-,-,4M,Out,Out,41,  0.39%,2,0
Home run,Fly,-,-,9D,Score,Score,40,  0.38%,0,2
Generic out,Grounder,Y,-,1S,Out,2nd,39,  0.37%,1,0
Generic out,Fly,-,-,7,Out,1st,39,  0.37%,1,0
Passed ball,-,-,-,-,Stays,2nd,36,  0.34%,0,0
Generic out,Fly,-,-,8S,Out,1st,36,  0.34%,1,0
Generic out,Liner,-,-,8XD,Out,1st,36,  0.34%,1,0
Generic out,Fly,-,-,9S,Out,1st,35,  0.33%,1,0
Generic out,Pop-up,-,Y,5F,Out,1st,35,  0.33%,1,0
Generic out,Liner,-,-,7,Out,1st,35,  0.33%,1,0
Home run,Fly,-,-,9LD,Score,Score,35,  0.33%,0,2
Generic out,Fly,-,-,78S,Out,1st,35,  0.33%,1,0
Generic out,Grounder,-,-,5,Out,Out,35,  0.33%,2,0
Generic out,Liner,-,-,7D,Out,1st,34,  0.32%,1,0
Generic out,Grounder,-,-,6,Out,2nd,34,  0.32%,1,0
Single,Liner,-,-,9S,1st,2nd,33,  0.31%,0,0
Generic out,Pop-up,-,Y,2F,Out,1st,33,  0.31%,1,0
Generic out,Grounder,Y,-,23,Out,2nd,33,  0.31%,1,0
Home run,Fly,-,-,89XD,Score,Score,33,  0.31%,0,2
Generic out,Grounder,-,-,56S,Out,Out,33,  0.31%,2,0
Generic out,Liner,-,-,89D,Out,1st,32,  0.30%,1,0
Single,Liner,-,-,8D,1st,2nd,32,  0.30%,0,0
