Play,Type,Bnt,Fl,Loc,B,R3,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,3rd,312, 18.87%,2,0
Walk,-,-,-,-,1st,3rd,148,  8.95%,1,0
Intentional walk,-,-,-,-,1st,3rd,35,  2.12%,1,0
Single,Grounder,-,-,34,1st,Score,27,  1.63%,1,1
Single,Grounder,-,-,56,1st,Score,24,  1.45%,1,1
Single,Liner,-,-,8,1st,Score,22,  1.33%,1,1
Single,Grounder,-,-,6M,1st,Score,22,  1.33%,1,1
Hit by pitch,-,-,-,-,1st,3rd,20,  1.21%,1,0
Wild pitch,-,-,-,-,Stays,Score,18,  1.09%,1,1
Generic out,Grounder,-,-,6S,Out,3rd,18,  1.09%,2,0
Single,Grounder,-,-,6,1st,Score,18,  1.09%,1,1
Generic out,Grounder,-,-,6,Out,Score,16,  0.97%,2,1
Generic out,Grounder,-,-,34,Out,3rd,15,  0.91%,2,0
Single,Liner,-,-,78,1st,Score,15,  0.91%,1,1
Generic out,Fly,-,-,8XD,Out,Score,15,  0.91%,2,1
Generic out,Grounder,-,-,56S,Out,3rd,15,  0.91%,2,0
Generic out,Fly,-,-,78D,Out,Score,14,  0.85%,2,1
Single,Liner,-,-,9,1st,Score,14,  0.85%,1,1
Generic out,Fly,-,-,89D,Out,Score,14,  0.85%,2,1
Single,Grounder,-,-,4M,1st,Score,13,  0.79%,1,1
Single,Grounder,-,-,4,1st,Score,13,  0.79%,1,1
Generic out,Fly,-,-,8D,Out,Score,13,  0.79%,2,1
Generic out,Grounder,-,-,56,Out,Score,12,  0.73%,2,1
Generic out,Fly,-,-,7,Out,Score,12,  0.73%,2,1
Generic out,Fly,-,-,78XD,Out,Score,12,  0.73%,2,1
Generic out,Grounder,-,-,6,Out,3rd,11,  0.67%,2,0
Generic out,Grounder,-,-,3S,Out,3rd,11,  0.67%,2,0
Generic out,Grounder,-,-,4,Out,Score,11,  0.67%,2,1
Single,Grounder,-,-,3,1st,Score,11,  0.67%,1,1
Single,Liner,-,-,7,1st,Score,11,  0.67%,1,1
Generic out,Fly,-,-,7D,Out,Score,10,  0.60%,2,1
Generic out,Grounder,-,-,56,Out,3rd,10,  0.60%,2,0
Generic out,Grounder,-,-,34,Out,Score,10,  0.60%,2,1
Fielder's choice,Grounder,-,-,34,1st,Out,9,  0.54%,2,0
Generic out,Fly,-,-,8,Out,Score,9,  0.54%,2,1
Fielder's choice,Grounder,-,-,56S,1st,Out,9,  0.54%,2,0
Generic out,Grounder,-,-,3,Out,Score,9,  0.54%,2,1
Generic out,Liner,-,-,7D,Out,Score,9,  0.54%,2,1
