Play,Type,Bnt,Fl,Loc,B,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,9821, 21.97%,1,0
Walk,-,-,-,-,1st,3448,  7.71%,0,0
Generic out,Grounder,-,-,6,Out,1617,  3.62%,1,0
Generic out,Grounder,-,-,34,Out,1328,  2.97%,1,0
Generic out,Grounder,-,-,56,Out,1110,  2.48%,1,0
Generic out,Grounder,-,-,4,Out,1011,  2.26%,1,0
Generic out,Grounder,-,-,3,Out,979,  2.19%,1,0
Generic out,Fly,-,-,8XD,Out,609,  1.36%,1,0
Generic out,Grounder,-,-,5,Out,486,  1.09%,1,0
Single,Grounder,-,-,34,1st,459,  1.03%,0,0
Hit by pitch,-,-,-,-,1st,451,  1.01%,0,0
Single,Grounder,-,-,56,1st,444,  0.99%,0,0
Generic out,Fly,-,-,9D,Out,402,  0.90%,1,0
Generic out,Fly,-,-,8D,Out,387,  0.87%,1,0
Generic out,Fly,-,-,7D,Out,375,  0.84%,1,0
Generic out,Fly,-,-,89D,Out,366,  0.82%,1,0
Single,Liner,-,-,8,1st,361,  0.81%,0,0
Generic out,Grounder,-,-,6M,Out,355,  0.79%,1,0
Single,Grounder,-,-,6M,1st,353,  0.79%,0,0
Generic out,Fly,-,-,89XD,Out,345,  0.77%,1,0
Single,Grounder,-,-,6,1st,342,  0.77%,0,0
Generic out,Fly,-,-,78D,Out,332,  0.74%,1,0
Generic out,Fly,-,-,78XD,Out,329,  0.74%,1,0
Single,Grounder,-,-,4,1st,322,  0.72%,0,0
Generic out,Liner,-,-,8D,Out,303,  0.68%,1,0
Generic out,Fly,-,-,8,Out,299,  0.67%,1,0
Single,Liner,-,-,89,1st,288,  0.64%,0,0
Single,Liner,-,-,7,1st,281,  0.63%,0,0
Generic out,Grounder,-,-,56S,Out,263,  0.59%,1,0
Single,Liner,-,-,78,1st,254,  0.57%,0,0
Home run,Fly,-,-,7D,Score,252,  0.56%,0,1
Single,Liner,-,-,9,1st,246,  0.55%,0,0
Single,Grounder,-,-,4M,1st,243,  0.54%,0,0
Home run,Fly,-,-,9D,Score,235,  0.53%,0,1
Home run,Fly,-,-,78XD,Score,232,  0.52%,0,1
Generic out,Fly,-,-,78,Out,228,  0.51%,1,0
Home run,Fly,-,-,89XD,Score,227,  0.51%,0,1
Generic out,Liner,-,-,8XD,Out,226,  0.51%,1,0
Generic out,Fly,-,-,7,Out,223,  0.50%,1,0
Generic out,Grounder,-,-,4M,Out,222,  0.50%,1,0
Generic out,Fly,-,-,89,Out,217,  0.49%,1,0
Generic out,Fly,-,-,9,Out,212,  0.47%,1,0
Generic out,Liner,-,-,9D,Out,203,  0.45%,1,0
Generic out,Grounder,-,-,1S,Out,202,  0.45%,1,0
Single,Liner,-,-,8D,1st,195,  0.44%,0,0
Generic out,Pop-up,-,Y,2F,Out,195,  0.44%,1,0
Generic out,Liner,-,-,7D,Out,194,  0.43%,1,0
Generic out,Grounder,-,-,6S,Out,193,  0.43%,1,0
Home run,Fly,-,-,9LD,Score,185,  0.41%,0,1
Generic out,Pop-up,-,Y,3F,Out,183,  0.41%,1,0
Single,Liner,-,-,89D,1st,179,  0.40%,0,0
Generic out,Grounder,-,-,4D,Out,179,  0.40%,1,0
Generic out,Liner,-,-,7,Out,178,  0.40%,1,0
Double,Liner,-,-,7LD,2nd,175,  0.39%,0,0
Double,Grounder,-,-,5,2nd,170,  0.38%,0,0
Generic out,Liner,-,-,9,Out,167,  0.37%,1,0
Generic out,Liner,-,-,89D,Out,162,  0.36%,1,0
Generic out,Fly,-,-,7S,Out,161,  0.36%,1,0
Generic out,Liner,-,-,78D,Out,161,  0.36%,1,0
Generic out,Fly,-,-,8S,Out,159,  0.36%,1,0
Single,Liner,-,-,78D,1st,158,  0.35%,0,0
Double,Liner,-,-,89XD,2nd,156,  0.35%,0,0
Generic out,Fly,-,-,7L,Out,155,  0.35%,1,0
Generic out,Fly,-,-,9LD,Out,154,  0.34%,1,0
Home run,Fly,-,-,7LD,Score,153,  0.34%,0,1
Generic out,Fly,-,-,9S,Out,149,  0.33%,1,0
Generic out,Fly,-,-,89S,Out,140,  0.31%,1,0
Double,Liner,-,-,9LD,2nd,139,  0.31%,0,0
Generic out,Fly,-,-,7LD,Out,136,  0.30%,1,0
Single,Liner,-,-,7S,1st,135,  0.30%,0,0
Home run,Fly,-,-,8XD,Score,134,  0.30%,0,1
Generic out,Grounder,-,-,6D,Out,134,  0.30%,1,0
Generic out,Grounder,-,-,1,Out,128,  0.29%,1,0
Generic out,Fly,-,-,78S,Out,126,  0.28%,1,0
Generic out,Fly,-,-,9L,Out,125,  0.28%,1,0
Single,Liner,-,-,9S,1st,125,  0.28%,0,0
Double,Liner,-,-,78XD,2nd,119,  0.27%,0,0
Single,Grounder,-,-,5,1st,117,  0.26%,0,0
Generic out,Grounder,-,-,2,Out,115,  0.26%,1,0
Generic out,Pop-up,-,Y,5F,Out,113,  0.25%,1,0
Generic out,Liner,-,-,8,Out,109,  0.24%,1,0
Double,Liner,-,-,7L,2nd,109,  0.24%,0,0
Generic out,Pop-up,-,-,6,Out,108,  0.24%,1,0
Generic out,Grounder,-,-,4MS,Out,106,  0.24%,1,0
Generic out,Fly,-,-,9LS,Out,105,  0.23%,1,0
Generic out,Fly,-,-,7LS,Out,103,  0.23%,1,0
Single,Grounder,-,-,3,1st,102,  0.23%,0,0
Generic out,Liner,-,-,89,Out,100,  0.22%,1,0
Generic out,Grounder,-,-,34S,Out,94,  0.21%,1,0
Generic out,Pop-up,-,-,6D,Out,91,  0.20%,1,0
Generic out,Grounder,-,-,6MS,Out,91,  0.20%,1,0
Generic out,Pop-up,-,-,34,Out,90,  0.20%,1,0
Double,Liner,-,-,9L,2nd,90,  0.20%,0,0
Generic out,Grounder,-,-,13,Out,89,  0.20%,1,0
Generic out,Pop-up,-,-,56D,Out,88,  0.20%,1,0
Generic out,Pop-up,-,-,4,Out,88,  0.20%,1,0
Generic out,Liner,-,-,56,Out,86,  0.19%,1,0
Single,Liner,-,-,7L,1st,86,  0.19%,0,0
Single,Liner,-,-,8S,1st,86,  0.19%,0,0
Generic out,Pop-up,-,-,56,Out,85,  0.19%,1,0
Generic out,Grounder,-,-,34D,Out,85,  0.19%,1,0
Generic out,Pop-up,-,-,4D,Out,84,  0.19%,1,0
Generic out,Pop-up,-,Y,3SF,Out,83,  0.19%,1,0
Generic out,Pop-up,-,-,34D,Out,82,  0.18%,1,0
Generic out,Liner,-,-,3,Out,81,  0.18%,1,0
Generic out,Grounder,-,-,6MD,Out,78,  0.17%,1,0
Generic out,Liner,-,-,6D,Out,77,  0.17%,1,0
Single,Liner,-,-,78S,1st,76,  0.17%,0,0
Single,Liner,-,-,89S,1st,76,  0.17%,0,0
Generic out,Grounder,-,-,23,Out,74,  0.17%,1,0
Generic out,Liner,-,-,4D,Out,73,  0.16%,1,0
Generic out,Liner,-,-,78,Out,72,  0.16%,1,0
Double,Fly,-,-,78XD,2nd,72,  0.16%,0,0
Double,Fly,-,-,89XD,2nd,71,  0.16%,0,0
Generic out,Grounder,-,-,4MD,Out,70,  0.16%,1,0
Generic out,Liner,-,-,89XD,Out,70,  0.16%,1,0
Single,Liner,-,-,7D,1st,69,  0.15%,0,0
Single,Liner,-,-,9D,1st,69,  0.15%,0,0
Generic out,Grounder,-,-,5S,Out,67,  0.15%,1,0
Double,Liner,-,-,78D,2nd,66,  0.15%,0,0
Generic out,Pop-up,-,-,3,Out,66,  0.15%,1,0
Double,Grounder,-,-,3,2nd,65,  0.15%,0,0
Single,Liner,-,-,9L,1st,65,  0.15%,0,0
Double,Liner,-,-,89D,2nd,63,  0.14%,0,0
Generic out,Grounder,-,-,3S,Out,61,  0.14%,1,0
Single,Liner,-,-,9LS,1st,61,  0.14%,0,0
Generic out,Liner,-,-,34,Out,60,  0.13%,1,0
Generic out,Pop-up,-,Y,5SF,Out,60,  0.13%,1,0
Double,Liner,-,-,7LS,2nd,59,  0.13%,0,0
Generic out,Grounder,-,-,4S,Out,58,  0.13%,1,0
Generic out,Pop-up,-,-,3D,Out,57,  0.13%,1,0
Generic out,Liner,-,-,6,Out,57,  0.13%,1,0
Generic out,Pop-up,-,Y,3DF,Out,55,  0.12%,1,0
Generic out,Pop-up,-,-,5D,Out,54,  0.12%,1,0
Generic out,Grounder,-,-,56D,Out,53,  0.12%,1,0
Double,Liner,-,-,7D,2nd,53,  0.12%,0,0
Generic out,Pop-up,-,-,6MD,Out,53,  0.12%,1,0
Error,Grounder,-,-,6,1st,52,  0.12%,0,0
Single,Grounder,-,-,56S,1st,52,  0.12%,0,0
Double,Liner,-,-,8XD,2nd,52,  0.12%,0,0
Error,Grounder,-,-,56,1st,50,  0.11%,0,0
Generic out,Liner,-,-,78XD,Out,50,  0.11%,1,0
Single,Grounder,-,-,25,1st,48,  0.11%,0,0
Single,Grounder,-,-,5S,1st,48,  0.11%,0,0
Generic out,Pop-up,-,-,4MD,Out,45,  0.10%,1,0
Generic out,Liner,-,-,4MD,Out,44,  0.10%,1,0
Generic out,Liner,-,-,5,Out,44,  0.10%,1,0
Generic out,Liner,-,-,4,Out,43,  0.10%,1,0
Single,Fly,-,-,8S,1st,43,  0.10%,0,0
Generic out,Fly,-,-,34D,Out,43,  0.10%,1,0
Double,Liner,-,-,9LS,2nd,41,  0.09%,0,0
Generic out,Pop-up,-,-,5,Out,39,  0.09%,1,0
Single,Grounder,-,-,6S,1st,38,  0.09%,0,0
Single,Liner,-,-,7LS,1st,38,  0.09%,0,0
Generic out,Grounder,-,-,3D,Out,38,  0.09%,1,0
Double,Fly,-,-,7LD,2nd,36,  0.08%,0,0
Single,Fly,-,-,9S,1st,35,  0.08%,0,0
Double,Liner,-,-,9D,2nd,34,  0.08%,0,0
Generic out,Liner,-,-,6MD,Out,34,  0.08%,1,0
Single,Fly,-,-,89S,1st,34,  0.08%,0,0
Generic out,Fly,-,-,6D,Out,34,  0.08%,1,0
Generic out,Fly,-,-,56D,Out,34,  0.08%,1,0
Generic out,Pop-up,-,Y,5DF,Out,34,  0.08%,1,0
Double,Fly,-,-,9LD,2nd,33,  0.07%,0,0
Double,Fly,-,-,7D,2nd,32,  0.07%,0,0
Generic out,Liner,-,-,9L,Out,32,  0.07%,1,0
Generic out,Pop-up,-,-,4S,Out,31,  0.07%,1,0
Generic out,Pop-up,-,-,56S,Out,31,  0.07%,1,0
Double,Fly,-,-,8XD,2nd,30,  0.07%,0,0
Generic out,Liner,-,-,34D,Out,29,  0.06%,1,0
Single,Liner,-,-,7LD,1st,29,  0.06%,0,0
Generic out,Grounder,-,-,15,Out,29,  0.06%,1,0
