Play,Type,Bnt,Fl,Loc,B,R1,R3,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,1st,3rd,521, 17.74%,3,0
Stolen base,-,-,-,-,Stays,2nd,3rd,310, 10.55%,2,0
Walk,-,-,-,-,1st,2nd,3rd,191,  6.50%,2,0
Generic out,Grounder,-,-,34,Out,1st,3rd,81,  2.76%,3,0
Generic out,Grounder,-,-,6,1st,Out,3rd,59,  2.01%,3,0
Generic out,Grounder,-,-,6,Out,1st,3rd,53,  1.80%,3,0
Generic out,Grounder,-,-,56,Out,1st,3rd,45,  1.53%,3,0
Defensive indifference,-,-,-,-,Stays,2nd,3rd,44,  1.50%,2,0
Generic out,Grounder,-,-,4,Out,1st,3rd,43,  1.46%,3,0
Generic out,Fly,-,-,8XD,Out,1st,3rd,34,  1.16%,3,0
Wild pitch,-,-,-,-,Stays,2nd,Score,28,  0.95%,2,1
Generic out,Grounder,-,-,3,Out,1st,3rd,28,  0.95%,3,0
Generic out,Fly,-,-,8D,Out,1st,3rd,26,  0.89%,3,0
Generic out,Fly,-,-,78D,Out,1st,3rd,26,  0.89%,3,0
Wild pitch,-,-,-,-,Stays,2nd,3rd,24,  0.82%,2,0
Generic out,Grounder,-,-,56,1st,Out,3rd,22,  0.75%,3,0
Hit by pitch,-,-,-,-,1st,2nd,3rd,22,  0.75%,2,0
Single,Grounder,-,-,34,1st,2nd,Score,22,  0.75%,2,1
Caught stealing,-,-,-,-,Stays,Out,3rd,21,  0.72%,3,0
Single,Grounder,-,-,56,1st,2nd,Score,21,  0.72%,2,1
Single,Liner,-,-,8,1st,2nd,Score,20,  0.68%,2,1
Generic out,Fly,-,-,8,Out,1st,3rd,20,  0.68%,3,0
Generic out,Fly,-,-,7D,Out,1st,3rd,18,  0.61%,3,0
Generic out,Fly,-,-,9,Out,1st,3rd,18,  0.61%,3,0
Generic out,Fly,-,-,78XD,Out,1st,3rd,17,  0.58%,3,0
Generic out,Grounder,-,-,5,Out,1st,3rd,17,  0.58%,3,0
Generic out,Fly,-,-,7,Out,1st,3rd,16,  0.54%,3,0
Home run,Fly,-,-,7D,Score,Score,Score,16,  0.54%,2,3
Generic out,Liner,-,-,8D,Out,1st,3rd,16,  0.54%,3,0
Caught stealing,-,-,-,-,Stays,1st,Out,16,  0.54%,3,0
Generic out,Grounder,-,-,1S,Out,1st,3rd,16,  0.54%,3,0
Generic out,Fly,-,-,89XD,Out,1st,3rd,16,  0.54%,3,0
Generic out,Fly,-,-,9D,Out,1st,3rd,15,  0.51%,3,0
Generic out,Liner,-,-,8,Out,1st,3rd,15,  0.51%,3,0
Generic out,Fly,-,-,89,Out,1st,3rd,14,  0.48%,3,0
Generic out,Grounder,-,-,6M,Out,1st,3rd,14,  0.48%,3,0
Generic out,Fly,-,-,78,Out,1st,3rd,14,  0.48%,3,0
Generic out,Fly,-,-,89D,Out,1st,3rd,14,  0.48%,3,0
Single,Grounder,-,-,6,1st,2nd,Score,14,  0.48%,2,1
Stolen base,-,-,-,-,Stays,2nd,Score,13,  0.44%,2,1
Generic out,Grounder,-,-,56S,Out,1st,3rd,13,  0.44%,3,0
Generic out,Pop-up,-,Y,5F,Out,1st,3rd,13,  0.44%,3,0
Generic out,Grounder,-,-,3S,Out,1st,3rd,13,  0.44%,3,0
Generic out,Liner,-,-,9D,Out,1st,3rd,13,  0.44%,3,0
Generic out,Liner,-,-,8XD,Out,1st,3rd,12,  0.41%,3,0
Generic out,Fly,-,-,7S,Out,1st,3rd,12,  0.41%,3,0
Single,Grounder,-,-,6M,1st,2nd,Score,12,  0.41%,2,1
Home run,Fly,-,-,8XD,Score,Score,Score,11,  0.37%,2,3
Generic out,Grounder,-,-,4,1st,Out,3rd,11,  0.37%,3,0
Generic out,Grounder,-,-,6S,Out,1st,3rd,11,  0.37%,3,0
Single,Grounder,-,-,4M,1st,2nd,Score,11,  0.37%,2,1
Generic out,Grounder,-,-,34S,Out,1st,3rd,11,  0.37%,3,0
Generic out,Pop-up,-,-,34D,Out,1st,3rd,10,  0.34%,3,0
Generic out,Fly,-,-,9LS,Out,1st,3rd,10,  0.34%,3,0
Single,Liner,-,-,7S,1st,2nd,Score,10,  0.34%,2,1
Single,Grounder,-,-,34,1st,3rd,Score,10,  0.34%,2,1
Generic out,Fly,-,-,7L,Out,1st,3rd,10,  0.34%,3,0
Double,Liner,-,-,78XD,2nd,Score,Score,10,  0.34%,2,2
Generic out,Liner,-,-,9,Out,1st,3rd,10,  0.34%,3,0
Home run,Fly,-,-,9D,Score,Score,Score,10,  0.34%,2,3
Generic out,Liner,-,-,7,Out,1st,3rd,10,  0.34%,3,0
Single,Liner,-,-,78,1st,3rd,Score,9,  0.31%,2,1
Single,Liner,-,-,7,1st,2nd,Score,9,  0.31%,2,1
Double,Liner,-,-,89XD,2nd,Score,Score,9,  0.31%,2,2
Single,Grounder,-,-,3,1st,3rd,Score,9,  0.31%,2,1
Generic out,Fly,-,-,9L,Out,1st,3rd,9,  0.31%,3,0
Generic out,Grounder,-,-,2,Out,1st,3rd,9,  0.31%,3,0
