Play,Type,Bnt,Fl,Loc,B,Count,Probability,New Outs,Runs
Single,Grounder,-,-,34,2nd,1,  0.00%,2,0
Triple,Fly,-,-,78XD,3rd,1,  0.00%,2,0
Double,Fly,-,-,3D,2nd,1,  0.00%,2,0
Triple,Grounder,-,-,5,3rd,1,  0.00%,2,0
Single,Fly,-,-,89D,1st,1,  0.00%,2,0
Error,Grounder,-,-,5S,1st,1,  0.00%,2,0
Triple,Liner,-,-,8D,3rd,1,  0.00%,2,0
Error,Liner,-,-,89,1st,1,  0.00%,2,0
Single,Liner,-,-,5D,Out,1,  0.00%,3,0
Single,Pop-up,-,-,56D,1st,1,  0.00%,2,0
Double,Grounder,-,-,2,2nd,1,  0.00%,2,0
Foul error,Fly,-,Y,-,Stays,1,  0.00%,2,0
Error,Grounder,-,-,6MS,2nd,1,  0.00%,2,0
Generic out,Fly,-,-,13,Out,1,  0.00%,3,0
Generic out,Liner,-,Y,1S,Out,1,  0.00%,3,0
Single,Grounder,-,-,6,Out,1,  0.00%,3,0
Error,Grounder,-,-,5S,2nd,1,  0.00%,2,0
Single,Grounder,-,-,4,2nd,1,  0.00%,2,0
Generic out,Pop-up,-,-,13,Out,1,  0.00%,3,0
Single,Pop-up,-,-,7LS,1st,1,  0.00%,2,0
Single,Liner,-,-,7L,2nd,1,  0.00%,2,0
Generic out,Grounder,-,-,6M,1st,1,  0.00%,2,0
Single,Liner,-,-,78,Out,1,  0.00%,3,0
Error,Grounder,-,-,4MD,1st,1,  0.00%,2,0
Single,Grounder,-,-,13,1st,1,  0.00%,2,0
Single,Fly,-,-,7,1st,1,  0.00%,2,0
Error,Pop-up,-,-,5D,2nd,1,  0.00%,2,0
Triple,Fly,-,-,7LD,3rd,1,  0.00%,2,0
Triple,Liner,-,-,8XD,Out,1,  0.00%,3,0
Single,Fly,-,-,9LS,Out,1,  0.00%,3,0
Generic out,Grounder,-,-,4,1st,1,  0.00%,2,0
Single,Pop-up,-,-,7S,1st,1,  0.00%,2,0
Single,Liner,-,-,6M,1st,1,  0.00%,2,0
Single,Liner,-,-,7,2nd,1,  0.00%,2,0
Error,Pop-up,-,-,6MD,1st,1,  0.00%,2,0
Error,Liner,-,-,56,1st,1,  0.00%,2,0
Error,Grounder,-,-,34D,1st,1,  0.00%,2,0
Single,Liner,-,-,8,Out,1,  0.00%,3,0
Double,Liner,-,-,9,2nd,1,  0.00%,2,0
Error,Grounder,-,-,56D,2nd,1,  0.00%,2,0
Generic out,Fly,-,Y,3F,Out,1,  0.00%,3,0
Error,Grounder,-,-,5D,1st,1,  0.00%,2,0
Error,Fly,-,-,89D,2nd,1,  0.00%,2,0
Generic out,Pop-up,-,-,9S,Out,1,  0.00%,3,0
Double,Pop-up,-,-,9LS,2nd,1,  0.00%,2,0
Error,Liner,-,-,7S,1st,1,  0.00%,2,0
Single,Grounder,-,-,56S,2nd,1,  0.00%,2,0
Error,Grounder,-,-,7L,1st,1,  0.00%,2,0
Triple,Liner,-,-,7L,3rd,1,  0.00%,2,0
Single,Grounder,-,-,25,2nd,1,  0.00%,2,0
Error,Fly,-,-,78XD,3rd,1,  0.00%,2,0
Single,Grounder,-,-,4M,2nd,1,  0.00%,2,0
Single,Fly,-,-,4D,1st,1,  0.00%,2,0
