Play,Type,Bnt,Fl,Loc,B,R1,R3,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,1st,3rd,157, 17.01%,1,0
Stolen base,-,-,-,-,Stays,2nd,3rd,45,  4.88%,0,0
Walk,-,-,-,-,1st,2nd,3rd,43,  4.66%,0,0
Generic out,Fly,-,-,8XD,Out,1st,Score,13,  1.41%,1,1
Single,Grounder,-,-,56,1st,2nd,Score,13,  1.41%,0,1
Generic out,Grounder,-,-,34,1st,Out,Score,13,  1.41%,1,1
Generic out,Grounder,-,-,6,1st,Out,Score,13,  1.41%,1,1
Hit by pitch,-,-,-,-,1st,2nd,3rd,12,  1.30%,0,0
Wild pitch,-,-,-,-,Stays,2nd,Score,11,  1.19%,0,1
Single,Grounder,-,-,34,1st,2nd,Score,11,  1.19%,0,1
Single,Liner,-,-,8,1st,2nd,Score,11,  1.19%,0,1
Single,Grounder,-,-,6,1st,2nd,Score,10,  1.08%,0,1
Single,Grounder,-,-,34,1st,3rd,Score,9,  0.98%,0,1
Generic out,Fly,-,-,78D,Out,1st,Score,9,  0.98%,1,1
Home run,Fly,-,-,7D,Score,Score,Score,9,  0.98%,0,3
Single,Liner,-,-,8S,1st,2nd,Score,9,  0.98%,0,1
Generic out,Grounder,-,-,34,Out,2nd,Score,8,  0.87%,1,1
Generic out,Fly,-,-,8D,Out,1st,Score,8,  0.87%,1,1
Generic out,Grounder,-,-,4,Out,Out,Score,7,  0.76%,2,1
Wild pitch,-,-,-,-,Stays,2nd,3rd,7,  0.76%,0,0
Generic out,Grounder,-,-,6,Out,Out,Score,6,  0.65%,2,1
Single,Liner,-,-,7,1st,2nd,Score,6,  0.65%,0,1
Generic out,Grounder,-,-,4,1st,Out,Score,6,  0.65%,1,1
Strikeout,-,-,-,-,Out,2nd,3rd,6,  0.65%,1,0
Generic out,Pop-up,-,Y,2F,Out,1st,3rd,6,  0.65%,1,0
Generic out,Liner,-,-,8D,Out,1st,Score,5,  0.54%,1,1
Single,Grounder,-,-,4M,1st,2nd,Score,5,  0.54%,0,1
Generic out,Fly,-,-,9S,Out,1st,3rd,5,  0.54%,1,0
Double,Liner,-,-,9LD,2nd,3rd,Score,5,  0.54%,0,1
Generic out,Pop-up,-,Y,3F,Out,1st,3rd,5,  0.54%,1,0
Generic out,Fly,-,-,89D,Out,1st,Score,5,  0.54%,1,1
Defensive indifference,-,-,-,-,Stays,2nd,3rd,5,  0.54%,0,0
Generic out,Pop-up,-,Y,5F,Out,1st,3rd,5,  0.54%,1,0
Caught stealing,-,-,-,-,Stays,Out,3rd,5,  0.54%,1,0
Generic out,Grounder,-,-,4,Out,2nd,Score,5,  0.54%,1,1
Single,Liner,-,-,8,1st,3rd,Score,5,  0.54%,0,1
Home run,Fly,-,-,7LD,Score,Score,Score,5,  0.54%,0,3
Generic out,Grounder,-,-,56,Out,Out,Score,5,  0.54%,2,1
Generic out,Fly,-,-,89XD,Out,1st,Score,5,  0.54%,1,1
Generic out,Grounder,-,-,56,1st,Out,Score,5,  0.54%,1,1
Generic out,Fly,-,-,9D,Out,1st,Score,4,  0.43%,1,1
Fielder's choice,Grounder,-,-,6,1st,2nd,Score,4,  0.43%,0,1
Single,Liner,-,-,7S,1st,2nd,Score,4,  0.43%,0,1
Home run,Fly,-,-,78XD,Score,Score,Score,4,  0.43%,0,3
Generic out,Liner,-,-,89D,Out,1st,Score,4,  0.43%,1,1
Home run,Fly,-,-,9LD,Score,Score,Score,4,  0.43%,0,3
Home run,Fly,-,-,9D,Score,Score,Score,4,  0.43%,0,3
Balk,-,-,-,-,Stays,2nd,Score,4,  0.43%,0,1
Single,Liner,-,-,78,1st,2nd,Score,4,  0.43%,0,1
Generic out,Pop-up,-,-,34,Out,1st,3rd,4,  0.43%,1,0
Double,Liner,-,-,7LD,2nd,3rd,Score,4,  0.43%,0,1
Fielder's choice,Grounder,-,-,56,1st,2nd,Out,4,  0.43%,1,0
Generic out,Fly,-,-,9,Out,1st,Score,4,  0.43%,1,1
Double,Grounder,-,-,3,2nd,3rd,Score,4,  0.43%,0,1
Generic out,Fly,-,-,9LD,Out,1st,Score,3,  0.33%,1,1
