Play,Type,Bnt,Fl,Loc,B,R2,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,2nd,674, 17.89%,1,0
Walk,-,-,-,-,1st,2nd,362,  9.61%,0,0
Generic out,Grounder,-,-,34,Out,3rd,128,  3.40%,1,0
Generic out,Grounder,-,-,6,Out,2nd,87,  2.31%,1,0
Generic out,Grounder,-,-,4,Out,3rd,75,  1.99%,1,0
Generic out,Grounder,-,-,3,Out,3rd,72,  1.91%,1,0
Generic out,Grounder,-,-,56,Out,2nd,69,  1.83%,1,0
Wild pitch,-,-,-,-,Stays,3rd,57,  1.51%,0,0
Hit by pitch,-,-,-,-,1st,2nd,56,  1.49%,0,0
Intentional walk,-,-,-,-,1st,2nd,45,  1.19%,0,0
Generic out,Grounder,-,-,6,Out,3rd,41,  1.09%,1,0
Generic out,Grounder,Y,-,2,Out,3rd,39,  1.04%,1,0
Generic out,Fly,-,-,8XD,Out,3rd,33,  0.88%,1,0
Generic out,Grounder,Y,-,1S,Out,3rd,33,  0.88%,1,0
Generic out,Grounder,-,-,5,Out,2nd,31,  0.82%,1,0
Single,Liner,-,-,8,1st,3rd,27,  0.72%,0,0
Generic out,Fly,-,-,78D,Out,2nd,25,  0.66%,1,0
Generic out,Grounder,Y,-,25,Out,3rd,25,  0.66%,1,0
Single,Grounder,-,-,34,1st,3rd,25,  0.66%,0,0
Generic out,Fly,-,-,9D,Out,3rd,24,  0.64%,1,0
Generic out,Grounder,-,-,56S,Out,2nd,22,  0.58%,1,0
Generic out,Fly,-,-,78,Out,2nd,22,  0.58%,1,0
Generic out,Fly,-,-,89XD,Out,3rd,20,  0.53%,1,0
Generic out,Fly,-,-,8,Out,2nd,20,  0.53%,1,0
Single,Liner,-,-,9,1st,3rd,20,  0.53%,0,0
Generic out,Grounder,-,-,6M,Out,3rd,19,  0.50%,1,0
Generic out,Fly,-,-,89,Out,2nd,18,  0.48%,1,0
Generic out,Grounder,-,-,4M,Out,3rd,18,  0.48%,1,0
Single,Grounder,-,-,34,1st,Score,18,  0.48%,0,1
Home run,Fly,-,-,9D,Score,Score,18,  0.48%,0,2
Generic out,Fly,-,-,8D,Out,2nd,18,  0.48%,1,0
Single,Grounder,-,-,6,1st,3rd,17,  0.45%,0,0
Single,Grounder,-,-,4,1st,Score,17,  0.45%,0,1
Single,Liner,-,-,9S,1st,3rd,17,  0.45%,0,0
Single,Grounder,-,-,56,1st,3rd,17,  0.45%,0,0
Generic out,Liner,-,-,8D,Out,2nd,17,  0.45%,1,0
Single,Liner,-,-,7,1st,3rd,16,  0.42%,0,0
Single,Grounder,-,-,4M,1st,Score,15,  0.40%,0,1
Generic out,Liner,-,-,9D,Out,3rd,15,  0.40%,1,0
Home run,Fly,-,-,78XD,Score,Score,15,  0.40%,0,2
Generic out,Fly,-,-,7D,Out,2nd,15,  0.40%,1,0
Generic out,Grounder,Y,-,23,Out,3rd,14,  0.37%,1,0
Generic out,Fly,-,-,89D,Out,3rd,14,  0.37%,1,0
Home run,Fly,-,-,7D,Score,Score,14,  0.37%,0,2
Stolen base,-,-,-,-,Stays,3rd,14,  0.37%,0,0
Single,Grounder,-,-,6M,1st,Score,13,  0.35%,0,1
Home run,Fly,-,-,9LD,Score,Score,13,  0.35%,0,2
Generic out,Liner,-,-,7,Out,2nd,13,  0.35%,1,0
Generic out,Liner,-,-,7D,Out,2nd,13,  0.35%,1,0
Fielder's choice,Grounder,-,-,6,1st,Out,13,  0.35%,1,0
Generic out,Liner,-,-,78,Out,2nd,13,  0.35%,1,0
Generic out,Fly,-,-,8S,Out,2nd,13,  0.35%,1,0
Single,Grounder,Y,-,2,1st,3rd,12,  0.32%,0,0
Generic out,Fly,-,-,7L,Out,2nd,12,  0.32%,1,0
Generic out,Fly,-,-,78XD,Out,3rd,12,  0.32%,1,0
Home run,Fly,-,-,89XD,Score,Score,12,  0.32%,0,2
Single,Liner,-,-,89,1st,Score,11,  0.29%,0,1
Generic out,Fly,-,-,9,Out,2nd,11,  0.29%,1,0
Double,Liner,-,-,9LD,2nd,Score,11,  0.29%,0,1
Generic out,Grounder,-,-,3S,Out,3rd,11,  0.29%,1,0
Generic out,Liner,-,-,8XD,Out,3rd,11,  0.29%,1,0
Single,Liner,-,-,78,1st,3rd,11,  0.29%,0,0
Generic out,Fly,-,-,9,Out,3rd,11,  0.29%,1,0
Generic out,Grounder,-,-,6S,Out,2nd,11,  0.29%,1,0
