Play,Type,Bnt,Fl,Loc,B,R1,R2,R3,Count,Probability,New Outs,Runs
Home run,Fly,-,-,9D,Score,Score,Score,Score,3,  0.41%,0,4
Single,Liner,-,-,8D,1st,2nd,3rd,Score,3,  0.41%,0,1
Single,Grounder,-,-,6M,1st,2nd,Score,Score,3,  0.41%,0,2
Generic out,Fly,-,-,34D,Out,1st,2nd,3rd,3,  0.41%,1,0
Generic out,Grounder,-,-,56S,Out,2nd,3rd,Out,3,  0.41%,2,0
Generic out,Grounder,-,-,6M,Out,Out,3rd,Score,3,  0.41%,2,1
Generic out,Fly,-,-,9,Out,1st,2nd,Score,3,  0.41%,1,1
Single,Grounder,-,-,4M,1st,2nd,Score,Score,3,  0.41%,0,2
Generic out,Fly,-,-,78D,Out,1st,2nd,Score,3,  0.41%,1,1
Generic out,Grounder,-,-,34S,1st,2nd,3rd,Out,3,  0.41%,1,0
Home run,Fly,-,-,8XD,Score,Score,Score,Score,3,  0.41%,0,4
Generic out,Fly,-,-,89,Out,1st,2nd,Score,3,  0.41%,1,1
Generic out,Fly,-,-,78S,Out,1st,2nd,3rd,3,  0.41%,1,0
Single,Grounder,-,-,3,1st,3rd,Score,Score,3,  0.41%,0,2
Double,Liner,-,-,89XD,2nd,3rd,Score,Score,3,  0.41%,0,2
Generic out,Fly,-,-,8S,Out,1st,2nd,3rd,3,  0.41%,1,0
Generic out,Pop-up,-,-,3,Out,1st,2nd,3rd,3,  0.41%,1,0
Generic out,Grounder,-,-,56,1st,2nd,3rd,Out,3,  0.41%,1,0
Generic out,Fly,-,-,8,Out,1st,2nd,Score,3,  0.41%,1,1
Single,Liner,-,-,9S,1st,2nd,3rd,Score,3,  0.41%,0,1
Generic out,Grounder,-,-,56,Out,Out,3rd,Score,3,  0.41%,2,1
Generic out,Grounder,-,-,6,1st,2nd,3rd,Out,3,  0.41%,1,0
Generic out,Fly,-,-,78,Out,1st,2nd,Score,3,  0.41%,1,1
Generic out,Pop-up,-,-,4,Out,1st,2nd,3rd,3,  0.41%,1,0
Generic out,Fly,-,-,78,Out,1st,2nd,3rd,3,  0.41%,1,0
Generic out,Liner,-,-,8D,Out,1st,2nd,Score,3,  0.41%,1,1
Generic out,Fly,-,-,78XD,Out,1st,2nd,Score,3,  0.41%,1,1
Single,Grounder,-,-,6,1st,2nd,Score,Score,3,  0.41%,0,2
Double,Liner,-,-,9LD,2nd,Score,Score,Score,3,  0.41%,0,3
Generic out,Pop-up,-,-,4MD,Out,1st,2nd,3rd,3,  0.41%,1,0
Generic out,Pop-up,-,-,6,Out,1st,2nd,3rd,3,  0.41%,1,0
Generic out,Fly,-,-,7LS,Out,1st,2nd,3rd,3,  0.41%,1,0
Generic out,Grounder,-,-,3S,1st,2nd,3rd,Out,3,  0.41%,1,0
Generic out,Grounder,-,-,4,1st,2nd,3rd,Out,2,  0.27%,1,0
Interference,-,-,-,-,1st,2nd,3rd,Score,2,  0.27%,0,1
Single,Grounder,-,-,4,1st,2nd,Score,Score,2,  0.27%,0,2
Generic out,Fly,-,-,7,Out,1st,2nd,Score,2,  0.27%,1,1
Single,Liner,-,-,89,1st,2nd,3rd,Score,2,  0.27%,0,1
Single,Grounder,-,-,6M,1st,3rd,Score,Score,2,  0.27%,0,2
Generic out,Grounder,-,-,4S,1st,2nd,3rd,Out,2,  0.27%,1,0
Generic out,Fly,-,-,89,Out,1st,2nd,3rd,2,  0.27%,1,0
Generic out,Fly,-,-,78XD,Out,2nd,3rd,Score,2,  0.27%,1,1
Double,Liner,-,-,89XD,2nd,Score,Score,Score,2,  0.27%,0,3
Generic out,Grounder,-,-,56S,1st,2nd,3rd,Out,2,  0.27%,1,0
Generic out,Fly,-,-,89XD,Out,1st,3rd,Score,2,  0.27%,1,1
Single,Liner,-,-,8D,1st,3rd,Score,Score,2,  0.27%,0,2
Single,Grounder,-,-,4,1st,3rd,Score,Score,2,  0.27%,0,2
Generic out,Liner,-,-,6M,Out,1st,2nd,3rd,2,  0.27%,1,0
Double,Liner,-,-,9LS,2nd,3rd,Score,Score,2,  0.27%,0,2
Single,Liner,-,-,7,1st,2nd,3rd,Score,2,  0.27%,0,1
Single,Grounder,-,-,3,1st,2nd,3rd,Score,2,  0.27%,0,1
Generic out,Grounder,-,-,5S,1st,2nd,3rd,Out,2,  0.27%,1,0
Generic out,Grounder,-,-,1,1st,2nd,3rd,Out,2,  0.27%,1,0
Home run,Fly,-,-,78XD,Score,Score,Score,Score,2,  0.27%,0,4
Generic out,Grounder,-,-,56S,Out,2nd,3rd,Score,2,  0.27%,1,1
Double,Liner,-,-,7L,2nd,3rd,Score,Score,2,  0.27%,0,2
Generic out,Fly,-,-,8D,Out,2nd,3rd,Score,2,  0.27%,1,1
Single,Grounder,-,-,56,1st,2nd,Score,Score,2,  0.27%,0,2
Fielder's choice,Grounder,-,-,56,1st,2nd,3rd,Score,2,  0.27%,0,1
Single,Fly,-,-,89S,1st,2nd,3rd,Score,2,  0.27%,0,1
Home run,Fly,-,-,9LD,Score,Score,Score,Score,2,  0.27%,0,4
Generic out,Grounder,-,-,56S,1st,Out,3rd,Score,2,  0.27%,1,1
Generic out,Pop-up,-,Y,2F,Out,1st,2nd,3rd,2,  0.27%,1,0
Generic out,Liner,-,-,4,Out,1st,2nd,3rd,2,  0.27%,1,0
Double,Fly,-,-,78XD,2nd,3rd,Score,Score,2,  0.27%,0,2
Generic out,Liner,-,-,56,Out,1st,2nd,3rd,2,  0.27%,1,0
Generic out,Grounder,-,-,4,Out,2nd,3rd,Score,2,  0.27%,1,1
Generic out,Grounder,-,-,1,Out,2nd,3rd,Out,2,  0.27%,2,0
Single,Liner,-,-,8,1st,2nd,Score,Score,2,  0.27%,0,2
Generic out,Liner,-,-,8D,Out,1st,3rd,Score,2,  0.27%,1,1
Generic out,Fly,-,-,78D,Out,2nd,3rd,Score,2,  0.27%,1,1
Generic out,Grounder,-,-,3,1st,Out,3rd,Score,2,  0.27%,1,1
Triple,Grounder,-,-,3,3rd,Score,Score,Score,2,  0.27%,0,3
Single,Liner,-,-,8S,1st,2nd,3rd,Score,2,  0.27%,0,1
Single,Liner,-,-,8S,1st,2nd,Score,Score,2,  0.27%,0,2
Single,Grounder,-,-,4M,1st,2nd,3rd,Score,2,  0.27%,0,1
Single,Grounder,-,-,3S,1st,2nd,3rd,Score,2,  0.27%,0,1
Generic out,Grounder,-,-,5,Out,2nd,Out,Score,2,  0.27%,2,1
Generic out,Grounder,-,-,23,Out,2nd,3rd,Score,2,  0.27%,1,1
Generic out,Fly,-,-,9,Out,1st,3rd,Score,2,  0.27%,1,1
Single,Liner,-,-,78,1st,2nd,3rd,Score,2,  0.27%,0,1
Generic out,Liner,-,-,3,Out,Out,2nd,3rd,2,  0.27%,2,0
Generic out,Fly,-,-,9D,Out,1st,2nd,Score,2,  0.27%,1,1
Generic out,Grounder,-,-,6MS,1st,Out,3rd,Score,2,  0.27%,1,1
Double,Liner,-,-,7LD,2nd,3rd,Score,Score,2,  0.27%,0,2
Home run,Fly,-,-,7D,Score,Score,Score,Score,2,  0.27%,0,4
Single,Grounder,-,-,4M,1st,3rd,Score,Score,2,  0.27%,0,2
Generic out,Grounder,-,-,3,Out,2nd,3rd,Score,2,  0.27%,1,1
Generic out,Liner,-,-,78D,Out,1st,2nd,Score,2,  0.27%,1,1
Generic out,Fly,-,-,9LD,Out,1st,3rd,Score,2,  0.27%,1,1
Single,Liner,-,-,7D,1st,2nd,Score,Score,1,  0.14%,0,2
Single,Liner,-,-,78D,1st,2nd,Score,Score,1,  0.14%,0,2
Generic out,Liner,-,-,8XD,Out,2nd,3rd,Score,1,  0.14%,1,1
Generic out,Fly,-,-,9LD,Out,2nd,3rd,Score,1,  0.14%,1,1
Generic out,Pop-up,-,-,3D,Out,1st,2nd,3rd,1,  0.14%,1,0
Pickoff,-,-,-,-,Stays,1st,2nd,Out,1,  0.14%,1,0
Generic out,Grounder,-,-,4D,Out,Out,3rd,Score,1,  0.14%,2,1
Generic out,Grounder,-,-,3,Out,Out,3rd,Score,1,  0.14%,2,1
Single,Grounder,-,-,34,2nd,3rd,Score,Score,1,  0.14%,0,2
Fielder's choice,Grounder,-,-,3,1st,2nd,Score,Score,1,  0.14%,0,2
Fielder's choice,Grounder,-,-,34,2nd,3rd,Score,Score,1,  0.14%,0,2
Double,Fly,-,-,8XD,2nd,3rd,Score,Score,1,  0.14%,0,2
Generic out,Fly,-,-,7LD,Out,1st,2nd,Score,1,  0.14%,1,1
Single,Grounder,-,-,34,Out,3rd,Score,Score,1,  0.14%,1,2
Single,Grounder,-,-,4S,1st,2nd,3rd,Score,1,  0.14%,0,1
Double,Liner,-,-,78XD,2nd,3rd,Score,Score,1,  0.14%,0,2
Generic out,Grounder,-,-,4M,Out,2nd,3rd,Score,1,  0.14%,1,1
Generic out,Fly,-,-,89,1st,Out,3rd,Score,1,  0.14%,1,1
Generic out,Fly,-,-,8,Out,2nd,3rd,Out,1,  0.14%,2,0
Generic out,Pop-up,-,-,6MS,Out,1st,2nd,3rd,1,  0.14%,1,0
Generic out,Fly,-,-,9L,Out,1st,3rd,Score,1,  0.14%,1,1
Single,Grounder,-,-,4M,2nd,Out,Score,Score,1,  0.14%,1,2
Generic out,Grounder,-,-,1S,Out,2nd,3rd,Out,1,  0.14%,2,0
Fielder's choice,Grounder,-,-,34,1st,2nd,3rd,Score,1,  0.14%,0,1
Double,Liner,-,-,9D,2nd,3rd,Score,Score,1,  0.14%,0,2
Generic out,Grounder,Y,-,1S,1st,2nd,3rd,Out,1,  0.14%,1,0
Fielder's choice,Grounder,-,-,7,2nd,Score,Score,Score,1,  0.14%,0,3
Single,Liner,-,-,9S,1st,3rd,Score,Score,1,  0.14%,0,2
Generic out,Fly,-,Y,7LF,Out,1st,2nd,Score,1,  0.14%,1,1
Generic out,Grounder,-,-,1S,Out,2nd,3rd,Score,1,  0.14%,1,1
Generic out,Fly,-,-,78,Out,1st,3rd,Score,1,  0.14%,1,1
Single,Fly,-,-,7LS,1st,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Grounder,Y,-,3S,Out,2nd,3rd,Score,1,  0.14%,1,1
Generic out,Liner,-,-,34,Out,Out,2nd,3rd,1,  0.14%,2,0
Single,Liner,-,-,7L,1st,2nd,Score,Score,1,  0.14%,0,2
Generic out,Grounder,-,-,5S,Out,Out,3rd,Score,1,  0.14%,2,1
Single,Grounder,-,-,4,1st,2nd,3rd,Score,1,  0.14%,0,1
Single,Liner,-,-,9L,1st,3rd,Score,Score,1,  0.14%,0,2
Single,Liner,-,-,9L,1st,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Pop-up,-,-,8S,Out,1st,2nd,3rd,1,  0.14%,1,0
Generic out,Liner,-,-,8XD,Out,1st,3rd,Score,1,  0.14%,1,1
Generic out,Liner,-,-,56D,Out,1st,2nd,3rd,1,  0.14%,1,0
Generic out,Fly,-,-,9S,Out,1st,2nd,3rd,1,  0.14%,1,0
Fielder's choice,Grounder,-,-,5,1st,2nd,3rd,Score,1,  0.14%,0,1
Double,Liner,-,-,7LS,2nd,3rd,Score,Score,1,  0.14%,0,2
Single,Fly,-,-,5D,1st,2nd,3rd,Score,1,  0.14%,0,1
Single,Liner,-,-,7,1st,2nd,Score,Score,1,  0.14%,0,2
Generic out,Liner,-,-,78D,Out,1st,3rd,Score,1,  0.14%,1,1
Double,Liner,-,-,78D,2nd,Score,Score,Score,1,  0.14%,0,3
Generic out,Pop-up,-,-,25,Out,1st,2nd,3rd,1,  0.14%,1,0
Single,Fly,-,-,8S,1st,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Fly,-,-,89D,Out,1st,2nd,Score,1,  0.14%,1,1
Single,Liner,-,-,34D,2nd,3rd,Score,Score,1,  0.14%,0,2
Generic out,Pop-up,-,-,4D,Out,1st,2nd,3rd,1,  0.14%,1,0
Generic out,Liner,-,-,78,Out,1st,2nd,Score,1,  0.14%,1,1
Double,Grounder,-,-,6,2nd,3rd,Score,Score,1,  0.14%,0,2
Fielder's choice,Grounder,-,-,4S,1st,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Fly,-,-,89,Out,1st,3rd,Score,1,  0.14%,1,1
Single,Liner,-,-,7LS,1st,2nd,3rd,Score,1,  0.14%,0,1
Balk,-,-,-,-,Stays,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Grounder,-,-,34S,Out,2nd,3rd,Score,1,  0.14%,1,1
Double,Liner,-,-,89D,2nd,Score,Score,Score,1,  0.14%,0,3
Generic out,Liner,-,-,34,Out,1st,Out,3rd,1,  0.14%,2,0
Generic out,Liner,-,-,5,Out,1st,2nd,Out,1,  0.14%,2,0
Single,Liner,-,-,8D,1st,2nd,Score,Score,1,  0.14%,0,2
Double,Grounder,-,-,5,2nd,3rd,Score,Score,1,  0.14%,0,2
Fielder's choice,Grounder,-,-,34S,1st,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Grounder,-,-,56,Out,2nd,Out,Score,1,  0.14%,2,1
Fielder's choice,Grounder,-,-,4,1st,3rd,Score,Score,1,  0.14%,0,2
Home run,Fly,-,-,7LD,Score,Score,Score,Score,1,  0.14%,0,4
Generic out,Fly,-,-,8,Out,3rd,Score,Score,1,  0.14%,1,2
Single,Grounder,-,-,6,1st,3rd,Score,Score,1,  0.14%,0,2
Generic out,Pop-up,-,-,6S,Out,1st,2nd,3rd,1,  0.14%,1,0
Generic out,Grounder,-,-,4MS,1st,2nd,Out,Out,1,  0.14%,2,0
Generic out,Liner,-,-,56S,1st,2nd,3rd,Out,1,  0.14%,1,0
Single,Liner,-,-,8XD,1st,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Pop-up,-,-,5S,Out,1st,2nd,3rd,1,  0.14%,1,0
Generic out,Fly,-,-,89S,Out,1st,2nd,3rd,1,  0.14%,1,0
Double,Fly,-,-,9D,2nd,3rd,Score,Score,1,  0.14%,0,2
Generic out,Fly,-,-,8D,Out,1st,2nd,Score,1,  0.14%,1,1
Generic out,Liner,-,-,78XD,Out,1st,2nd,Score,1,  0.14%,1,1
Generic out,Grounder,-,-,5S,Out,2nd,3rd,Score,1,  0.14%,1,1
Single,Liner,-,-,5D,1st,2nd,Score,Score,1,  0.14%,0,2
Generic out,Grounder,-,-,34D,1st,Out,3rd,Score,1,  0.14%,1,1
Generic out,Fly,-,-,7,Out,1st,2nd,3rd,1,  0.14%,1,0
Generic out,Liner,-,-,9D,Out,1st,3rd,Score,1,  0.14%,1,1
Fielder's choice,Grounder,-,-,6S,1st,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Liner,-,-,9D,Out,1st,2nd,Score,1,  0.14%,1,1
Single,Fly,-,-,7LD,1st,2nd,Score,Score,1,  0.14%,0,2
Generic out,Liner,-,-,8D,Out,1st,2nd,3rd,1,  0.14%,1,0
Double,Liner,-,-,78XD,3rd,Out,Score,Score,1,  0.14%,1,2
Single,Fly,-,-,8,1st,2nd,3rd,Score,1,  0.14%,0,1
Double,Liner,-,-,7D,2nd,3rd,Score,Score,1,  0.14%,0,2
Generic out,Fly,-,-,8XD,Out,1st,2nd,Score,1,  0.14%,1,1
Single,Grounder,-,-,6M,2nd,3rd,Score,Score,1,  0.14%,0,2
Single,Liner,-,-,9D,1st,2nd,3rd,Score,1,  0.14%,0,1
Single,Fly,-,-,3D,1st,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Grounder,-,-,6M,1st,2nd,3rd,Out,1,  0.14%,1,0
Generic out,Grounder,-,-,5,1st,2nd,3rd,Out,1,  0.14%,1,0
Single,Liner,-,-,89S,1st,2nd,Score,Score,1,  0.14%,0,2
Strikeout,-,-,-,-,Out,2nd,3rd,Score,1,  0.14%,1,1
Generic out,Grounder,-,-,4S,Out,2nd,3rd,Score,1,  0.14%,1,1
Single,Fly,-,-,8S,1st,2nd,Score,Score,1,  0.14%,0,2
Generic out,Fly,-,-,9,Out,3rd,Score,Score,1,  0.14%,1,2
Generic out,Liner,-,-,78D,Out,2nd,3rd,Score,1,  0.14%,1,1
Generic out,Liner,-,-,7L,Out,1st,2nd,Score,1,  0.14%,1,1
Single,Grounder,-,-,2,1st,2nd,3rd,Score,1,  0.14%,0,1
Fielder's choice,Grounder,-,-,89D,2nd,3rd,Score,Score,1,  0.14%,0,2
Generic out,Fly,-,-,7L,Out,2nd,Out,Score,1,  0.14%,2,1
Generic out,Fly,-,-,7S,Out,1st,Out,Score,1,  0.14%,2,1
Single,Liner,-,-,1,1st,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Fly,-,-,89XD,Out,2nd,3rd,Score,1,  0.14%,1,1
Generic out,Grounder,-,-,2,Out,2nd,3rd,Out,1,  0.14%,2,0
Generic out,Grounder,-,-,34,Out,2nd,3rd,Out,1,  0.14%,2,0
Generic out,Grounder,-,-,4MS,Out,2nd,3rd,Score,1,  0.14%,1,1
Generic out,Fly,-,-,8,Out,2nd,3rd,Score,1,  0.14%,1,1
Generic out,Grounder,-,-,5,Out,2nd,3rd,Score,1,  0.14%,1,1
Single,Fly,-,-,6MD,1st,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Fly,-,-,9,Out,1st,2nd,3rd,1,  0.14%,1,0
Single,Grounder,-,-,6M,1st,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Pop-up,-,-,6M,Out,1st,2nd,3rd,1,  0.14%,1,0
Generic out,Pop-up,-,-,6MD,Out,1st,2nd,3rd,1,  0.14%,1,0
Generic out,Liner,-,-,89D,Out,1st,3rd,Score,1,  0.14%,1,1
Double,Liner,-,-,78D,2nd,3rd,Score,Score,1,  0.14%,0,2
Single,Fly,-,-,78S,1st,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Grounder,-,-,56,1st,Out,3rd,Score,1,  0.14%,1,1
Single,Fly,-,-,78XD,1st,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Liner,-,-,9,Out,1st,2nd,Score,1,  0.14%,1,1
Generic out,Liner,-,-,8,Out,1st,2nd,3rd,1,  0.14%,1,0
Single,Grounder,-,-,15,1st,2nd,3rd,Score,1,  0.14%,0,1
Triple,Liner,-,-,89XD,3rd,Score,Score,Score,1,  0.14%,0,3
Generic out,Liner,-,-,9,Out,1st,2nd,3rd,1,  0.14%,1,0
Single,Fly,-,-,9D,Out,2nd,3rd,Score,1,  0.14%,1,1
Double,Fly,-,-,9LS,2nd,3rd,Score,Score,1,  0.14%,0,2
Double,Liner,-,-,9LD,2nd,3rd,Score,Score,1,  0.14%,0,2
Generic out,Liner,-,-,9L,Out,1st,3rd,Score,1,  0.14%,1,1
Fielder's choice,Grounder,-,-,6,1st,2nd,Score,Score,1,  0.14%,0,2
Generic out,Liner,-,-,3D,Out,1st,2nd,3rd,1,  0.14%,1,0
Double,Fly,-,-,89XD,2nd,3rd,Score,Score,1,  0.14%,0,2
Generic out,Liner,-,-,4MD,Out,1st,Out,3rd,1,  0.14%,2,0
Generic out,Pop-up,-,Y,3SF,Out,1st,2nd,3rd,1,  0.14%,1,0
Single,Liner,-,-,78,1st,2nd,Score,Score,1,  0.14%,0,2
Single,Liner,-,-,78S,1st,2nd,3rd,Score,1,  0.14%,0,1
Double,Liner,-,-,8XD,2nd,Out,Score,Score,1,  0.14%,1,2
Double,Liner,-,-,9L,2nd,3rd,Score,Score,1,  0.14%,0,2
Home run,Liner,-,-,7D,Score,Score,Score,Score,1,  0.14%,0,4
Generic out,Pop-up,-,-,56D,Out,1st,2nd,3rd,1,  0.14%,1,0
Generic out,Fly,-,-,7D,Out,2nd,3rd,Score,1,  0.14%,1,1
Double,Liner,-,-,89D,2nd,3rd,Score,Score,1,  0.14%,0,2
Fielder's choice,Grounder,-,-,56,1st,3rd,Score,Score,1,  0.14%,0,2
Generic out,Fly,-,-,7S,Out,1st,2nd,3rd,1,  0.14%,1,0
Generic out,Grounder,-,-,6,Out,2nd,3rd,Score,1,  0.14%,1,1
Generic out,Grounder,-,-,6M,1st,Out,3rd,Score,1,  0.14%,1,1
Double,Fly,-,-,89XD,2nd,Score,Score,Score,1,  0.14%,0,3
Double,Liner,-,-,5D,2nd,3rd,Score,Score,1,  0.14%,0,2
Double,Liner,-,-,7L,3rd,Score,Score,Score,1,  0.14%,0,3
Single,Fly,-,-,9LS,1st,3rd,Score,Score,1,  0.14%,0,2
Generic out,Grounder,-,-,3S,Out,2nd,3rd,Out,1,  0.14%,2,0
Generic out,Grounder,-,-,6S,Out,2nd,3rd,Score,1,  0.14%,1,1
Generic out,Liner,-,-,89,Out,1st,2nd,Score,1,  0.14%,1,1
Single,Liner,-,-,78S,1st,2nd,Score,Score,1,  0.14%,0,2
Double,Liner,-,-,89D,2nd,Out,Score,Score,1,  0.14%,1,2
Generic out,Liner,-,-,8,Out,1st,2nd,Score,1,  0.14%,1,1
Double,Liner,-,-,7LS,2nd,Score,Score,Score,1,  0.14%,0,3
Single,Liner,-,-,78D,1st,2nd,3rd,Score,1,  0.14%,0,1
Generic out,Liner,-,-,4M,Out,Out,2nd,3rd,1,  0.14%,2,0
Single,Liner,-,-,9LD,2nd,3rd,Score,Score,1,  0.14%,0,2
Single,Liner,-,-,89,1st,3rd,Score,Score,1,  0.14%,0,2
Generic out,Liner,-,-,89,Out,1st,Out,Score,1,  0.14%,2,1
Double,Fly,-,-,7LD,2nd,Score,Score,Score,1,  0.14%,0,3
Double,Liner,-,-,9L,2nd,Score,Score,Score,1,  0.14%,0,3
Generic out,Grounder,-,-,4MS,1st,2nd,3rd,Out,1,  0.14%,1,0
Generic out,Pop-up,-,-,6D,Out,1st,2nd,3rd,1,  0.14%,1,0
Generic out,Fly,-,-,5D,Out,1st,2nd,3rd,1,  0.14%,1,0
