Play,Type,Bnt,Fl,Loc,B,R1,R2,R3,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,1st,2nd,3rd,149, 20.27%,1,0
Walk,-,-,-,-,1st,2nd,3rd,Score,34,  4.63%,0,1
Generic out,Grounder,-,-,6,Out,Out,3rd,Score,13,  1.77%,2,1
Single,Grounder,-,-,6,1st,2nd,3rd,Score,10,  1.36%,0,1
Generic out,Fly,-,-,8XD,Out,1st,3rd,Score,9,  1.22%,1,1
Generic out,Grounder,-,-,4,Out,Out,3rd,Score,8,  1.09%,2,1
Single,Liner,-,-,8,1st,2nd,3rd,Score,7,  0.95%,0,1
Generic out,Grounder,-,-,34,1st,Out,3rd,Score,7,  0.95%,1,1
Generic out,Grounder,-,-,4,1st,Out,3rd,Score,7,  0.95%,1,1
Hit by pitch,-,-,-,-,1st,2nd,3rd,Score,7,  0.95%,0,1
Double,Grounder,-,-,3,2nd,3rd,Score,Score,7,  0.95%,0,2
Generic out,Grounder,-,-,6S,1st,2nd,3rd,Out,6,  0.82%,1,0
Generic out,Grounder,-,-,6,1st,Out,3rd,Score,6,  0.82%,1,1
Single,Grounder,-,-,56,1st,2nd,3rd,Score,6,  0.82%,0,1
Generic out,Liner,-,-,7D,Out,1st,2nd,Score,6,  0.82%,1,1
Wild pitch,-,-,-,-,Stays,2nd,3rd,Score,6,  0.82%,0,1
Generic out,Fly,-,-,8XD,Out,2nd,3rd,Score,5,  0.68%,1,1
Generic out,Fly,-,-,7D,Out,1st,2nd,Score,5,  0.68%,1,1
Single,Grounder,-,-,34,1st,2nd,3rd,Score,5,  0.68%,0,1
Single,Liner,-,-,9,1st,2nd,3rd,Score,5,  0.68%,0,1
Generic out,Grounder,-,-,34,Out,Out,3rd,Score,4,  0.54%,2,1
Generic out,Fly,-,-,9D,Out,1st,3rd,Score,4,  0.54%,1,1
Generic out,Grounder,-,-,3S,Out,2nd,3rd,Score,4,  0.54%,1,1
Generic out,Fly,-,-,78XD,Out,1st,3rd,Score,4,  0.54%,1,1
Generic out,Grounder,-,-,1S,1st,2nd,3rd,Out,4,  0.54%,1,0
Generic out,Grounder,-,-,34,Out,2nd,3rd,Score,4,  0.54%,1,1
Home run,Fly,-,-,89XD,Score,Score,Score,Score,4,  0.54%,0,4
Generic out,Fly,-,-,89D,Out,1st,3rd,Score,4,  0.54%,1,1
Single,Grounder,-,-,34,1st,3rd,Score,Score,4,  0.54%,0,2
Generic out,Grounder,-,-,3,1st,2nd,3rd,Out,4,  0.54%,1,0
